"slide [mm]","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='0mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='2mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='4mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='6mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='8mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='10mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='12mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='14mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='16mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='18mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='20mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='22mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='24mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='26mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='28mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='30mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='32mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='34mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='36mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='38mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='40mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='42mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='44mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='46mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='48mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='50mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='0mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='2mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='4mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='6mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='8mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='10mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='12mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='14mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='16mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='18mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='20mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='22mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='24mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='26mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='28mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='30mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='32mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='34mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='36mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='38mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='40mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='42mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='44mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='46mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='48mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='50mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='0mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='2mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='4mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='6mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='8mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='10mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='12mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='14mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='16mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='18mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='20mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='22mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='24mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='26mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='28mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='30mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='32mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='34mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='36mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='38mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='40mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='42mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='44mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='46mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='48mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='50mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='45mm' offset='0mm'"
-10,34.05753,33.93317,34.10136,34.07407,33.74326,33.97393,34.00247,33.93604,33.8446,33.78438,33.76083,33.76556,33.41803,33.58287,33.60662,33.48009,33.39308,33.34511,33.11667,33.2633,33.16532,33.29192,33.01563,32.88019,33.23816,32.98369,32.84922,33.11805,32.85969,33.06056,32.83937,33.08224,32.76741,32.75943,32.52205,32.66944,32.71789,32.99685,32.57673,32.4939,32.73816,32.53564,32.73732,32.36433,32.14015,32.30969,32.51269,32.23727,32.30856,32.46065,32.31755,32.20917,32.35254,32.00823,32.34389,32.24384,32.28719,32.10414,32.22249,32.05908,32.0114,32.25265,31.98652,31.97834,32.23487,31.90078,31.79996,32.05807,31.93234,31.77356,31.9521,31.80647,31.92231,31.80439,31.33589,31.47729,31.74428,31.75302,
-6,34.07564,34.07032,34.09356,34.35859,33.98946,33.95899,33.99482,33.96245,33.9085,33.90053,33.83065,33.66646,33.72301,33.66696,33.62145,33.52842,33.40856,33.37185,33.32227,33.34245,33.37323,33.09662,32.97918,33.20807,32.82344,32.77239,32.92558,32.98091,32.94679,32.92162,32.9409,32.87289,32.69385,32.83896,33.1137,32.76797,32.56738,32.69942,32.62513,32.63984,32.93047,32.5646,32.54515,32.6577,32.3835,32.368,32.54406,32.05646,32.61283,32.42446,32.32823,32.09211,32.08788,32.07699,32.41383,32.35704,32.32897,32.29072,32.33975,32.32592,32.236,32.31969,31.96138,31.99513,31.94874,32.11938,31.92472,32.16686,31.7981,31.98172,31.92585,31.94367,31.59131,31.81683,31.87622,31.52449,31.87471,31.7837,
-2,34.16453,34.12727,34.13218,34.10889,34.11404,33.67896,33.72911,33.97888,34.00605,33.87446,33.89475,33.80007,33.7278,33.44019,33.61035,33.31328,33.54577,33.37677,33.09241,33.23689,33.18259,33.14273,33.05645,33.29208,32.86908,32.79083,32.96168,33.3189,32.56794,32.96688,32.97485,32.96063,33.20303,32.86879,32.61223,32.60156,32.6,32.69331,33.16499,32.94014,32.70881,32.89854,32.39726,32.79915,32.49011,32.41367,32.69599,32.20972,32.47685,32.44273,32.05586,32.39312,32.49325,32.22195,32.44457,31.94604,32.20131,32.22078,32.1424,32.46855,32.18941,32.14258,32.28949,32.21275,32.33783,32.26968,32.28863,32.16483,31.7,32.06788,31.82705,31.78706,32.01618,32.07393,31.81844,31.8764,31.91926,31.71095,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.44223
2,34.25342,34.14702,34.17147,33.90318,34.12041,34.19765,34.00903,34.0354,34.00679,33.91796,34.00874,33.89568,33.7431,33.68432,33.76887,33.56968,33.49975,33.46837,33.41813,33.31188,33.2342,33.231,33.12722,32.91971,32.91319,32.82044,33.0501,33.14434,32.77504,33.00193,33.24343,32.96193,32.90088,32.85204,33.22279,32.88651,32.89085,32.82042,32.72215,33.0767,32.66904,32.90531,32.98335,32.83243,32.40694,32.77675,32.4562,32.09607,32.28781,32.1475,32.33972,32.38431,32.14538,32.22782,32.28533,32.54064,32.29636,32.19609,32.1606,32.46565,32.10363,32.07772,32.30872,32.07178,32.26437,32.26763,32.03465,32.1281,32.07078,31.78382,31.88737,31.90669,31.83215,32.19292,31.8261,31.63842,31.85266,31.99254,
6,34.15532,34.21373,34.05402,34.19014,34.16687,33.89089,34.03334,34.113,34.03068,33.9194,33.9203,33.86146,33.80426,33.80935,33.62344,33.5638,33.44868,33.7561,33.43424,33.53365,33.54865,33.06168,33.35719,32.94722,32.90804,33.11417,32.96132,33.08719,33.05918,33.06699,33.06637,33.0105,33.02303,32.7059,32.93305,33.26575,33.02477,32.95198,33.13314,32.73829,32.76127,32.64264,32.55173,32.56261,32.84897,32.27051,32.6691,32.57017,32.29928,32.50759,32.45432,32.20939,32.54062,32.46931,32.21889,32.1425,32.1227,32.17601,31.78895,32.3377,32.30478,32.07791,32.14388,32.27955,32.30033,32.27776,31.8659,32.23955,32.10167,31.80851,32.05871,31.96623,32.01911,31.96889,31.91875,31.77787,31.81322,31.55744,
10,34.24838,34.29478,34.09835,34.16566,34.16437,34.1611,34.12973,34.11483,34.08305,33.97228,33.90585,33.90598,33.80231,33.9333,33.97458,33.54648,33.57292,33.25824,33.37697,33.49923,33.2622,33.21436,33.08322,33.06156,33.26555,32.86373,33.13385,33.1411,33.34659,33.11934,33.04305,32.9607,32.9798,32.69506,33.03569,32.91777,32.90036,32.82576,32.82674,32.7709,32.42395,32.95881,32.88689,32.90674,32.71128,32.56693,32.694,32.61451,32.32492,32.57212,32.53003,32.06414,32.35064,32.57069,32.57655,32.43905,32.23399,32.14265,32.52677,32.47408,32.25411,32.50532,32.49538,32.10622,32.2288,32.35013,32.38707,31.84756,32.19799,32.19484,32.19631,32.28067,31.68731,31.8699,31.65835,31.88647,31.8662,31.76809,
14,34.63264,34.2412,34.23414,34.20704,34.22034,34.16293,34.19007,34.17328,34.51285,34.09436,33.92838,34.02028,33.81974,33.82574,33.76597,33.66904,33.56511,33.9506,33.43075,33.68814,33.50074,33.20979,33.1402,33.05485,32.88757,33.23612,33.25349,33.31805,33.04554,33.08197,33.02925,33.42348,33.31437,32.97273,33.22052,32.95837,32.84225,32.88971,32.91624,32.83001,33.16393,32.64897,32.72056,32.63958,32.50868,32.41124,32.81626,32.38745,32.26456,32.20784,32.66372,32.28577,32.21772,32.49831,32.34734,32.65231,32.58729,32.36719,32.21734,32.31248,32.20725,32.45636,32.45871,32.5345,32.35507,32.38548,31.88549,31.92388,32.24416,31.86956,32.10598,32.18798,32.05596,32.02546,31.65826,31.96083,31.61004,31.62642,
18,34.26273,34.15993,34.2168,34.15883,34.14774,34.13131,34.17964,34.01313,34.04896,33.93777,33.8506,34.15681,33.78389,33.76925,33.74987,33.67055,33.44715,33.48451,33.74892,33.24574,33.08882,33.479,33.32228,33.07383,33.1387,32.79812,33.00459,33.36841,33.35573,33.3544,33.26938,33.04889,33.48257,33.30418,33.21548,32.87294,33.2689,32.81214,32.86026,32.67328,32.70127,32.65907,32.42957,32.76676,32.74671,32.40008,32.37985,32.49037,32.519,32.13418,32.45142,32.1161,32.38967,32.72405,32.20792,32.54295,32.34149,32.35273,32.18776,32.17987,32.35894,32.24072,32.6322,32.47865,32.41273,32.20892,31.99764,32.29942,31.87506,32.0963,32.07826,31.93923,32.0347,31.63379,31.67045,31.68933,31.64442,31.90387,
22,34.2231,34.09601,34.2014,34.04578,34.1419,34.09647,34.13937,34.33135,33.95361,33.92781,33.95204,33.57934,33.85261,33.70939,33.55484,33.75363,33.44151,33.15417,33.2705,33.25544,33.45091,33.15788,33.00899,32.98692,32.76915,33.09831,33.10714,33.36489,33.41965,33.04695,33.05629,33.16476,33.36865,33.01205,33.22518,32.92949,32.99478,33.04941,32.81183,32.99313,33.0767,32.60365,32.38596,32.83381,32.67595,32.40476,32.34491,32.5245,32.27522,32.19196,32.13189,31.93236,32.32345,32.25883,32.50716,32.52749,32.66266,32.31713,32.69774,32.40769,32.16014,32.08186,32.18591,32.47198,32.43378,32.13531,32.04047,32.31738,32.24326,31.93437,32.35573,32.20318,32.05735,31.9134,32.02276,31.82474,31.53086,31.85457,
26,34.13796,34.14934,34.02267,34.09235,34.04608,34.01425,33.87958,33.93487,33.9251,33.91239,33.82318,33.71466,33.64877,33.6721,33.51275,33.77966,33.18558,33.72709,33.57449,33.12899,33.02409,32.98256,33.42539,33.1479,32.7748,33.10659,33.02817,33.12151,32.95587,33.12105,32.91751,33.13628,32.69335,32.84776,32.84699,32.81687,32.83476,33.11785,32.99231,32.83649,32.876,32.78055,32.56255,32.44403,32.31351,32.42841,32.5593,32.33932,32.23946,32.12512,32.35729,32.23201,32.28445,32.56746,32.56922,31.94991,32.28283,32.69161,32.52729,32.55887,32.11958,32.54359,32.30057,32.37819,32.0212,32.55595,31.93996,32.27681,32.23892,31.93164,32.1946,31.84706,31.6604,31.78708,31.98754,31.82633,31.70309,31.94065,
