"slide [mm]","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='0mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='2mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='4mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='6mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='8mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='10mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='12mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='14mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='16mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='18mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='20mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='22mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='24mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='26mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='28mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='30mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='32mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='34mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='36mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='38mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='40mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='42mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='44mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='46mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='48mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='25mm' offset='50mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='0mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='2mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='4mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='6mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='8mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='10mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='12mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='14mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='16mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='18mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='20mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='22mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='24mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='26mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='28mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='30mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='32mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='34mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='36mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='38mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='40mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='42mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='44mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='46mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='48mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='30mm' offset='50mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='0mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='2mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='4mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='6mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='8mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='10mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='12mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='14mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='16mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='18mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='20mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='22mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='24mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='26mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='28mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='30mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='32mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='34mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='36mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='38mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='40mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='42mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='44mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='46mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='48mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='35mm' offset='50mm'","Matrix1.L(pickup2,pickup2) [uH] - gap='45mm' offset='0mm'"
-50,33.85475,33.98248,33.90276,33.94115,33.94364,33.57608,33.82521,33.79144,33.71393,33.70924,33.65338,33.56835,33.6116,33.5554,33.45094,33.46045,33.15107,33.31783,33.20744,33.11552,32.80013,33.03385,32.97562,32.99197,32.73875,32.89541,32.84432,32.94785,32.56968,32.82844,32.70496,32.7516,32.82731,32.49767,32.76328,32.68816,32.40994,32.47571,32.32184,32.63419,32.43729,32.42523,32.50851,32.4386,32.14474,32.12001,32.17151,32.02415,32.07617,31.88305,32.12791,31.975,32.07356,32.05111,31.88782,31.94495,31.99666,31.85778,31.90657,31.69756,32.0121,31.84805,31.8307,31.92041,31.95825,31.77972,31.76592,31.73872,31.75726,31.62412,31.63119,31.65427,31.61002,31.53239,31.5692,31.22104,31.55178,31.45285,
-46,33.68832,33.52662,33.71745,33.92232,33.97727,34.00682,33.63771,33.58717,33.57821,33.29337,33.81342,33.68927,33.64803,33.49301,33.27872,33.4039,33.43186,33.18369,33.1179,32.96291,32.95599,33.0954,32.79452,32.83935,32.85805,32.53442,32.57812,32.88336,32.72246,32.80298,32.74301,32.52455,32.75555,32.65171,32.7163,32.46834,32.56328,32.36991,32.48695,32.51694,32.46323,32.49289,32.5561,32.50137,32.20764,32.11959,32.2221,32.17285,32.03262,32.11736,32.0354,31.80097,32.07974,31.93153,32.03614,31.98349,31.94089,31.99021,31.93998,32.00202,32.07674,31.82826,31.93573,31.87942,31.9478,31.5835,31.74301,31.80337,31.77195,31.81097,31.42584,31.64795,31.72828,31.53449,31.61668,31.49692,31.40665,31.56089,
-42,34.04372,33.93659,33.70955,34.05229,33.80927,33.40875,33.62787,33.59663,33.65994,33.74663,33.73441,33.76064,33.287,33.63101,33.54906,33.23761,33.42368,33.19072,32.97808,33.41685,33.12788,33.15961,33.06054,33.07555,33.01558,32.75781,32.58186,32.80794,32.99691,32.82369,32.68902,32.56843,32.83275,32.56657,32.70339,32.29498,32.49629,32.653,32.58162,32.32315,32.57285,32.51452,32.41593,32.48285,32.40873,32.32114,32.32179,32.14906,32.21164,32.27917,31.94124,32.08075,31.98225,32.05874,32.08514,31.81892,31.99469,32.01051,31.7838,32.00195,31.94866,31.89057,31.91365,31.47295,31.89244,32.00251,31.87191,31.7415,31.65022,31.7027,31.74952,31.66117,31.73664,31.58461,31.439,31.48704,31.52432,31.60149,
-38,33.98548,33.74727,33.70548,33.73761,33.67595,33.42574,33.69735,33.83594,33.95821,33.56398,33.4631,33.73448,33.46515,33.34239,33.33226,33.23645,33.46328,33.08401,33.05488,32.98306,33.14952,33.10054,33.0693,32.70529,32.93033,32.732,32.9035,32.80946,32.61854,32.61297,32.88074,32.86027,32.91375,32.74446,32.73688,32.78052,32.55256,32.67711,32.80816,32.63292,32.48851,32.51664,32.25257,32.46838,32.14006,32.27051,32.07948,32.16169,32.215,32.18134,31.96638,31.85474,32.09111,32.19453,31.84196,32.0478,32.051,31.99701,32.06203,32.04834,32.05862,31.93857,31.97439,31.51184,31.89877,31.85428,31.86478,31.73746,31.80413,31.71575,31.83888,31.76284,31.63878,31.67331,31.61503,31.63666,31.49336,31.57761,
-34,33.78265,33.98491,33.71859,34.03525,33.69213,33.65209,33.68259,33.68287,33.70578,33.86317,33.48275,33.58321,33.42438,33.37841,33.61326,33.46042,33.20303,33.12268,33.0705,33.032,32.96268,32.98505,33.02305,32.71088,32.96055,32.96708,32.64496,32.61673,32.6629,32.95006,32.90719,32.90635,32.54432,32.51688,32.83397,32.73933,32.48077,32.83846,32.69403,32.58274,32.3279,32.24834,32.54694,32.47047,32.50096,32.33342,32.11275,32.4201,32.26043,32.14851,32.08306,32.16622,32.06355,31.89591,32.0829,32.11793,32.03977,31.84839,32.08083,32.11852,32.12018,31.99569,31.94035,31.68208,31.98097,31.96597,31.93028,31.60197,31.77772,31.70329,31.88591,31.81257,31.46073,31.6023,31.47862,31.53652,31.44953,31.54893,
-30,33.74229,33.84146,33.83053,33.78528,33.77368,33.75634,33.94626,33.99555,33.60754,33.61186,33.43372,33.51181,33.48155,33.75479,33.42395,33.33999,33.4647,33.11276,33.24378,33.26907,32.78306,33.15398,32.84716,33.13486,32.99714,32.88481,32.58278,32.65268,32.75069,32.82537,32.64777,32.79878,32.86015,32.51781,32.81246,32.48931,32.78269,32.45181,32.49885,32.39862,32.52292,32.15793,32.278,32.20319,32.18152,32.38044,32.36176,32.1478,31.94201,32.11254,32.01387,31.98069,32.21861,32.14417,32.11472,31.89726,31.90493,32.15687,31.95529,32.07698,32.18998,32.04166,31.91282,31.79755,31.72766,31.75904,31.6772,31.63254,31.40571,31.9136,31.84289,31.47329,31.69357,31.38194,31.44234,31.46756,31.6601,31.53269,
-26,33.84367,33.8438,33.40659,33.75743,33.70561,33.77229,33.63984,33.60708,33.62422,33.61055,33.59674,33.89174,33.52535,33.8119,33.31221,33.34332,33.45926,33.4166,33.14749,33.0532,32.94458,32.69153,32.6164,33.01336,33.05492,32.55693,33.11528,32.75832,32.77554,32.67183,32.60134,32.8812,32.91707,32.62192,32.96284,32.65234,32.73907,32.29756,32.28422,32.39983,32.70837,32.65443,32.55896,32.58661,32.30046,32.13585,32.42626,32.31916,32.28969,32.10443,32.02475,32.05486,31.97164,32.15497,32.20182,31.95683,32.22745,31.90602,32.12268,31.9314,32.07729,31.704,31.8741,32.04284,31.92333,31.97134,32.0283,31.9007,31.94229,31.63021,31.80928,31.93041,31.73487,31.69277,31.72016,31.58824,31.69037,31.33183,
-22,33.87935,33.87125,33.94398,33.80274,33.85795,33.73577,33.84204,33.69872,33.65122,33.63676,33.61912,33.37065,33.82844,33.43077,33.1759,33.3312,33.24258,33.00109,33.43953,33.1049,32.82422,32.90904,32.87707,32.87768,33.09056,32.95519,32.72645,33.0114,32.95851,32.77977,32.53468,32.71854,32.80226,32.70187,32.84781,32.57389,32.6349,32.51149,32.4656,32.74655,32.68271,32.72008,32.58465,32.27859,32.25156,32.45111,32.17291,32.12427,32.24528,32.25428,32.21148,32.20431,31.9101,32.20575,31.9074,32.27573,32.15856,32.12299,31.91568,31.89363,31.88229,32.06121,31.8647,32.10219,32.01698,31.99296,31.98394,31.7335,31.66394,31.86661,31.67635,31.6244,31.48018,31.53074,31.46747,31.65155,31.73533,31.61189,
-18,34.25072,33.86736,33.83066,33.85528,33.8991,33.53429,33.59418,33.75403,33.69891,33.69904,33.63508,33.60204,33.57685,33.5985,33.48876,33.45883,33.26944,33.22255,33.14948,33.11506,33.01278,33.26885,32.98371,32.78905,32.92247,32.92794,33.19224,32.77732,32.73149,32.78856,32.69289,33.01813,32.95085,32.69678,32.72364,32.89308,32.58442,32.94397,32.51548,32.47763,32.46113,32.65024,32.33447,32.3109,32.52265,32.51947,32.49794,32.35031,32.29829,31.82556,32.0009,32.16678,32.29152,32.06635,32.02146,31.98466,31.95713,32.00071,32.32311,31.97063,31.91976,32.1994,32.08408,32.12808,32.25378,31.84888,31.81827,31.96411,31.98168,31.64157,31.66523,31.59805,31.65107,31.71596,31.56626,31.7249,31.55022,31.55496,
-14,33.69585,33.94048,33.95242,33.91871,34.00362,33.86822,33.68823,33.85701,33.86119,33.34406,33.72498,33.77109,33.5644,33.50982,33.55517,33.40219,33.33634,33.07881,33.31438,33.42414,33.02585,32.98277,33.05457,32.79623,32.79311,32.77437,32.81233,32.58855,32.81063,33.20427,32.86647,32.608,32.85582,32.81817,32.71221,32.64399,32.76695,32.71138,32.61525,32.56954,32.51521,32.47925,32.39913,32.39576,32.45524,32.32893,32.20977,32.40812,32.51872,32.07898,32.04839,32.25731,32.05611,31.91921,32.32274,32.41971,32.04343,32.08308,32.04609,32.19285,31.96552,31.91067,31.96693,32.05348,31.91903,31.81827,32.0196,31.97509,32.07609,31.97757,31.99792,31.69797,31.77909,31.68264,31.85175,31.74609,31.68637,31.37711,
