"slide [mm]","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='0mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='2mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='4mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='6mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='8mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='10mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='12mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='14mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='16mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='18mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='20mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='22mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='24mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='26mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='28mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='30mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='32mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='34mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='36mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='38mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='40mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='42mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='44mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='46mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='48mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='50mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='0mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='2mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='4mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='6mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='8mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='10mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='12mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='14mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='16mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='18mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='20mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='22mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='24mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='26mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='28mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='30mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='32mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='34mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='36mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='38mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='40mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='42mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='44mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='46mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='48mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='50mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='0mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='2mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='4mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='6mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='8mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='10mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='12mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='14mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='16mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='18mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='20mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='22mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='24mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='26mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='28mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='30mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='32mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='34mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='36mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='38mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='40mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='42mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='44mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='46mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='48mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='50mm'","Matrix1.L(source1,pickup2) [uH] - gap='45mm' offset='0mm'"
-10,10.00886,9.937596,10.04645,9.979925,9.739027,9.904865,9.843084,9.780822,9.698687,9.588978,9.511075,9.421222,9.167643,9.204033,9.128365,9.015483,8.847323,8.736025,8.483494,8.43439,8.337742,8.309045,8.045493,7.845556,7.927484,7.684322,8.392719,8.583739,8.401268,8.516039,8.369894,8.466364,8.259904,8.229739,8.021192,8.082378,8.085485,8.182723,7.888517,7.700969,7.849781,7.638032,7.726368,7.436289,7.199438,7.225142,7.261957,7.029672,7.001444,6.945947,6.768466,6.614369,7.284563,7.159021,7.327446,7.298299,7.274588,7.134887,7.216988,7.055823,7.000014,7.098061,6.902477,6.835938,6.956753,6.733626,6.631921,6.67223,6.578965,6.417447,6.437519,6.335623,6.257684,6.095277,5.830115,5.83638,5.888589,5.771572,
-6,9.819599,9.83865,9.843203,10.02795,9.778903,9.713514,9.684385,9.636664,9.561511,9.478036,9.394795,9.219839,9.219824,9.085059,8.99573,8.865401,8.721725,8.585518,8.490664,8.358368,8.320938,8.042746,7.873098,7.933873,7.583276,7.439821,8.325442,8.360918,8.336038,8.301496,8.304233,8.23189,8.112252,8.157513,8.294221,8.05413,7.863842,7.900354,7.81858,7.769908,7.865565,7.564147,7.475663,7.5832,7.266748,7.167128,7.226037,6.814771,7.031632,6.825966,6.682683,6.462644,7.12112,7.133142,7.329355,7.269413,7.259973,7.197018,7.215581,7.152268,7.080234,7.061205,6.869336,6.830458,6.749704,6.808247,6.584817,6.678997,6.471299,6.496129,6.400868,6.336573,6.068742,6.101667,6.024547,5.803659,5.838323,5.737311,
-2,9.643082,9.598303,9.572904,9.569703,9.571932,9.22363,9.246835,9.435889,9.356007,9.225062,9.197563,9.093741,8.985738,8.689773,8.768027,8.502579,8.553779,8.384268,8.131816,8.148557,8.013772,7.887082,7.763806,7.796685,7.426518,7.278332,8.209619,8.428554,7.934188,8.179436,8.164456,8.14213,8.272185,8.072317,7.851166,7.772369,7.712436,7.776945,7.935808,7.811548,7.567182,7.65167,7.254251,7.453244,7.186302,7.060134,7.106189,6.791642,6.805163,6.692203,6.456385,6.521522,7.302164,7.111601,7.274738,6.91801,7.065188,7.031423,6.994424,7.098365,6.937831,6.896213,6.915244,6.868293,6.848886,6.808974,6.719198,6.633071,6.28351,6.491076,6.218531,6.122194,6.166494,6.090235,5.9889,5.857546,5.834424,5.665786,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.499259
2,9.365229,9.329086,9.351336,9.117336,9.263119,9.24573,9.146566,9.125609,9.100706,8.9908,8.952179,8.886015,8.734863,8.646751,8.523638,8.392503,8.287,8.196144,8.074313,7.902529,7.82233,7.687407,7.510572,7.365217,7.226766,7.071821,8.041555,8.071681,7.842398,7.969371,8.14692,7.925492,7.893844,7.815221,7.939744,7.742678,7.68344,7.613042,7.523329,7.636785,7.373374,7.40918,7.368558,7.289447,6.97362,7.060792,6.80883,6.540687,6.57766,6.411632,6.407751,6.274654,6.931843,6.984558,6.98778,7.155293,6.950453,6.915796,6.876632,7.015206,6.78859,6.721878,6.868079,6.621293,6.677131,6.660669,6.450242,6.474479,6.283519,6.170972,6.11541,6.093908,5.961388,6.023776,5.850491,5.669139,5.671127,5.614883,
6,9.004384,9.048047,8.935537,9.008588,8.96735,8.753467,8.848369,8.824448,8.755174,8.692854,8.586293,8.545149,8.411163,8.36017,8.20769,8.08061,7.982228,8.065279,7.792775,7.811005,7.715795,7.360323,7.389254,7.082796,6.957656,7.001639,7.747471,7.777256,7.786344,7.759596,7.765431,7.71374,7.69572,7.468172,7.558516,7.746727,7.574073,7.497808,7.499715,7.236856,7.190926,7.071995,6.974791,6.874901,6.993409,6.576574,6.767943,6.617852,6.336012,6.373371,6.281796,6.051143,6.921513,6.881957,6.755895,6.736711,6.701159,6.707366,6.460458,6.785882,6.727825,6.549402,6.518943,6.576352,6.542739,6.481248,6.244512,6.319379,6.250331,6.02104,6.071719,6.011447,5.913797,5.794122,5.740705,5.614861,5.513109,5.289767,
10,8.680548,8.729843,8.596011,8.637198,8.62536,8.608589,8.532112,8.538391,8.429872,8.358551,8.268612,8.201745,8.106471,8.106216,8.081068,7.764585,7.6992,7.469199,7.468525,7.437545,7.205417,7.127822,6.962435,6.880988,6.862019,6.552662,7.527025,7.525629,7.691526,7.512895,7.497381,7.427255,7.408083,7.197033,7.31856,7.275779,7.22288,7.164844,7.096832,7.008161,6.763471,6.996443,6.932931,6.804595,6.686551,6.550363,6.466906,6.3865,6.195122,6.239855,6.066198,5.79546,6.633267,6.76996,6.711298,6.672509,6.557895,6.49482,6.631057,6.59848,6.416646,6.513477,6.527037,6.285569,6.330767,6.309722,6.278129,5.978794,6.128549,6.005996,5.913578,5.912694,5.608251,5.662458,5.427462,5.456405,5.361068,5.242408,
14,8.577505,8.29285,8.326629,8.273034,8.302141,8.217239,8.215644,8.108835,8.340889,7.991374,7.93696,7.894636,7.74434,7.681652,7.602543,7.479346,7.403913,7.485248,7.177207,7.247382,7.058894,6.841185,6.670799,6.549334,6.436298,6.48384,7.269433,7.247852,7.196089,7.15886,7.192318,7.330251,7.310359,7.085469,7.216749,6.966868,6.905185,6.896928,6.830341,6.753108,6.862373,6.55253,6.508951,6.414745,6.30374,6.206504,6.301945,6.010499,5.889967,5.802084,5.811746,5.690263,6.344369,6.51091,6.374848,6.510101,6.473288,6.33018,6.286669,6.280115,6.204091,6.274148,6.297571,6.217748,6.11989,6.144776,5.843605,5.784068,5.88303,5.67267,5.727015,5.631996,5.53315,5.470715,5.246232,5.280331,5.08963,4.993638,
18,7.919309,7.890878,7.887461,7.871234,7.831905,7.798358,7.807963,7.685739,7.683769,7.58902,7.54336,7.636067,7.374752,7.316336,7.249719,7.156221,6.98059,6.922006,6.971526,6.703537,6.478059,6.602303,6.478077,6.253333,6.254529,5.977156,6.902044,7.0435,7.060225,7.059694,7.018981,6.821155,7.022414,6.957767,6.850841,6.677126,6.805133,6.543907,6.523188,6.393811,6.342835,6.263853,6.104837,6.228426,6.12774,5.932252,5.829193,5.884214,5.746725,5.538685,5.583664,5.357601,6.077864,6.263039,6.076928,6.227539,6.108715,6.0458,6.016035,5.94816,5.963333,5.927887,6.034254,5.934051,5.892253,5.8165,5.637922,5.726142,5.482871,5.547676,5.471226,5.293934,5.307843,5.106554,5.045458,4.985634,4.888356,4.932104,
22,7.49793,7.421132,7.468076,7.427695,7.451688,7.415301,7.356965,7.517674,7.254848,7.200802,7.186828,6.934176,7.027081,6.93445,6.822128,6.903194,6.643396,6.409985,6.421098,6.350226,6.356648,6.135859,6.029646,5.950831,5.778685,5.839679,6.598253,6.749595,6.760574,6.555615,6.530019,6.556971,6.649194,6.444378,6.558161,6.36767,6.33559,6.399889,6.190861,6.250074,6.247618,5.985151,5.797089,6.011119,5.890298,5.649345,5.561601,5.586804,5.41204,5.27227,5.157387,5.074171,5.832773,5.846424,5.923907,5.897594,5.935499,5.765735,5.89712,5.812621,5.658948,5.617886,5.623132,5.662972,5.646801,5.450509,5.375489,5.469462,5.420102,5.202882,5.296507,5.190906,5.105087,5.008749,4.952245,4.826172,4.658929,4.703745,
26,7.093979,7.07924,7.04133,7.063784,7.005093,6.982153,6.920205,6.888041,6.866586,6.816238,6.746888,6.652278,6.592301,6.554551,6.455196,6.535103,6.160221,6.361076,6.25396,5.983523,5.884842,5.813053,5.904487,5.692532,5.48636,5.499368,6.236398,6.260008,6.211041,6.351163,6.188735,6.30257,6.007404,6.068575,6.048396,6.015016,5.981883,6.06123,6.026579,5.9503,5.898451,5.789843,5.608363,5.496867,5.416744,5.362621,5.434014,5.222275,5.116857,5.032721,5.06355,4.927861,5.575311,5.700481,5.704322,5.398681,5.541043,5.65979,5.594121,5.62978,5.39499,5.507823,5.435909,5.428427,5.241345,5.309868,5.126633,5.227272,5.133159,4.965074,5.0627,4.851865,4.759345,4.692603,4.724535,4.620099,4.5772,4.498485,
