"slide [mm]","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='0mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='2mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='4mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='6mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='8mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='10mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='12mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='14mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='16mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='18mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='20mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='22mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='24mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='26mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='28mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='30mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='32mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='34mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='36mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='38mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='40mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='42mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='44mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='46mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='48mm'","Matrix1.L(source1,pickup2) [uH] - gap='25mm' offset='50mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='0mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='2mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='4mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='6mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='8mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='10mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='12mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='14mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='16mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='18mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='20mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='22mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='24mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='26mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='28mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='30mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='32mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='34mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='36mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='38mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='40mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='42mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='44mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='46mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='48mm'","Matrix1.L(source1,pickup2) [uH] - gap='30mm' offset='50mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='0mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='2mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='4mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='6mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='8mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='10mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='12mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='14mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='16mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='18mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='20mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='22mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='24mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='26mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='28mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='30mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='32mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='34mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='36mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='38mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='40mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='42mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='44mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='46mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='48mm'","Matrix1.L(source1,pickup2) [uH] - gap='35mm' offset='50mm'","Matrix1.L(source1,pickup2) [uH] - gap='45mm' offset='0mm'"
-50,5.182129,5.202021,5.195925,5.184689,5.178298,5.020655,5.128516,5.102808,5.069234,5.053286,4.987869,4.972657,4.957857,4.88784,4.843296,4.819272,4.651317,4.692176,4.638551,4.568637,4.379657,4.45001,4.391474,4.341459,4.224095,4.169665,4.188221,4.170811,4.042723,4.169572,4.109376,4.102778,4.113962,3.98502,4.095094,4.031625,3.930884,3.90896,3.845013,3.963321,3.881631,3.85996,3.837606,3.806027,3.652207,3.632069,3.64403,3.524618,3.563247,3.459621,3.458723,3.404133,3.386701,3.35527,3.319156,3.33184,3.334853,3.265863,3.286161,3.201298,3.322499,3.262828,3.245807,3.235309,3.252254,3.206932,3.15845,3.137454,3.13737,3.04971,3.044194,3.037639,2.975816,2.923041,2.918052,2.777619,2.839293,2.793543,
-46,6.093587,5.996191,6.078468,6.21814,6.193734,6.223893,6.010267,5.99279,5.948456,5.792873,6.004407,5.971453,5.930354,5.806023,5.633408,5.724698,5.652113,5.535868,5.403274,5.301824,5.247085,5.270359,5.07516,5.050365,5.002889,4.809583,4.902998,5.0298,5.008563,4.987171,4.974706,4.854972,4.983351,4.907669,4.885721,4.76918,4.813719,4.675816,4.74781,4.75283,4.656085,4.6377,4.612937,4.547555,4.423969,4.335096,4.359746,4.295742,4.195376,4.165537,4.096487,3.928533,4.104684,4.064037,4.080648,4.090065,4.035321,4.060306,4.025081,4.028242,4.028374,3.910425,3.97927,3.916242,3.918164,3.76394,3.798368,3.817337,3.760006,3.7446,3.592215,3.636247,3.61495,3.521724,3.528382,3.436562,3.376474,3.355704,
-42,7.208103,7.142027,7.008607,7.200632,7.038442,6.80783,6.900186,6.873884,6.883706,6.905699,6.870299,6.852721,6.591877,6.709742,6.633078,6.389873,6.473882,6.243834,6.142958,6.248635,6.081289,6.000696,5.914297,5.837189,5.789057,5.572056,5.705762,5.80012,5.865491,5.792364,5.694441,5.621261,5.751016,5.595313,5.665171,5.432151,5.480097,5.559606,5.489415,5.341035,5.404154,5.368047,5.296781,5.216535,5.202143,5.077611,5.043455,4.909264,4.852924,4.786626,4.627881,4.642491,4.773839,4.755502,4.774261,4.639091,4.73958,4.694488,4.595229,4.703337,4.653914,4.642361,4.595453,4.375647,4.557204,4.552797,4.499795,4.384101,4.349636,4.300334,4.272085,4.229985,4.149835,4.10266,3.977678,3.967378,3.929889,3.87856,
-38,7.970849,7.833659,7.816265,7.815505,7.766661,7.592517,7.716411,7.826364,7.798361,7.568654,7.470518,7.581889,7.387211,7.298666,7.226745,7.127265,7.209428,6.915723,6.82999,6.715441,6.751082,6.621646,6.545542,6.279856,6.323899,6.181009,6.535581,6.505903,6.36877,6.352789,6.486062,6.462838,6.481221,6.38874,6.341038,6.295288,6.240302,6.207607,6.208967,6.121292,5.983704,5.965797,5.766916,5.835938,5.599573,5.634583,5.475679,5.430039,5.385403,5.293379,5.201501,5.031394,5.370848,5.416886,5.258699,5.364302,5.366604,5.331049,5.324386,5.283104,5.295598,5.201504,5.194706,4.954819,5.098929,5.045988,5.014238,4.93669,4.897213,4.831013,4.821209,4.736923,4.657042,4.583526,4.500336,4.460199,4.377352,4.335921,
-34,8.540592,8.718291,8.50183,8.67488,8.472885,8.421159,8.400018,8.396024,8.348268,8.428812,8.140839,8.1527,8.01983,7.934385,8.011132,7.889081,7.650766,7.537251,7.431738,7.323055,7.200506,7.131216,7.098191,6.803679,6.834804,6.69347,6.998971,6.968722,6.976178,7.146488,7.089803,7.08074,6.872804,6.808919,6.968756,6.88232,6.702904,6.874516,6.709422,6.650474,6.442567,6.327315,6.434569,6.355397,6.289728,6.143187,5.977085,6.015485,5.871364,5.756744,5.65161,5.600756,5.90251,5.815243,5.884223,5.923294,5.851622,5.737765,5.839028,5.83707,5.822295,5.719091,5.652364,5.493522,5.622889,5.559749,5.511245,5.297674,5.343226,5.275862,5.267447,5.195776,4.971358,5.033568,4.875892,4.864663,4.768388,4.691819,
-30,9.04593,9.115331,9.089549,9.058756,9.032963,9.002209,9.122968,9.103094,8.811288,8.769105,8.617442,8.615974,8.547631,8.636014,8.3724,8.248499,8.270144,7.993639,7.985722,7.905798,7.503264,7.590033,7.390443,7.406538,7.272296,7.104292,7.433923,7.47262,7.495897,7.558013,7.427834,7.485555,7.489182,7.29561,7.423932,7.209269,7.304796,7.106302,7.076165,6.971649,7.004699,6.714884,6.74102,6.617543,6.530929,6.592559,6.474991,6.298304,6.115648,6.167547,6.014538,5.911633,6.406978,6.36754,6.339571,6.210674,6.220014,6.314947,6.167306,6.24642,6.25595,6.181402,6.095732,5.972206,5.906093,5.87658,5.770712,5.721911,5.527016,5.732594,5.618166,5.409307,5.451128,5.26082,5.204506,5.186799,5.146884,5.008754,
-26,9.506129,9.543958,9.217965,9.449881,9.407786,9.398495,9.317245,9.253141,9.210587,9.181699,9.100491,9.242322,8.937631,9.037705,8.671815,8.594147,8.623537,8.499675,8.23038,8.089076,7.940879,7.678216,7.557031,7.708086,7.597894,7.229217,8.110624,7.884491,7.872512,7.79878,7.739519,7.970571,7.928287,7.694294,7.868131,7.620131,7.650485,7.34071,7.274557,7.326343,7.38571,7.283639,7.227587,7.151099,6.908672,6.749699,6.82402,6.677194,6.602552,6.38602,6.255785,6.217957,6.593545,6.706668,6.727926,6.578256,6.703244,6.532851,6.629076,6.495693,6.548601,6.279927,6.359987,6.416063,6.305302,6.312573,6.252502,6.161975,6.113522,5.887941,5.959017,5.881865,5.77362,5.689353,5.612945,5.467312,5.438553,5.205394,
-22,9.827375,9.808894,9.847615,9.761038,9.772908,9.655966,9.676652,9.568179,9.498343,9.409046,9.373575,9.116431,9.402239,9.065923,8.828361,8.857237,8.709669,8.458627,8.642018,8.339919,8.074289,8.058599,7.908095,7.815549,7.786255,7.604793,8.160317,8.336783,8.277163,8.133935,7.956802,8.059087,8.137016,7.994477,8.056071,7.855729,7.837926,7.73974,7.657725,7.749882,7.642923,7.564195,7.45708,7.226887,7.091026,7.143619,6.923273,6.78363,6.788621,6.686838,6.560168,6.449585,6.821616,6.968043,6.807164,7.005358,6.926791,6.90693,6.736248,6.704898,6.664417,6.761206,6.571262,6.696206,6.57824,6.544847,6.459232,6.266567,6.181491,6.220873,6.033649,5.943367,5.83642,5.762528,5.668721,5.695383,5.623233,5.511655,
-18,10.21345,9.969381,9.914215,9.900273,9.919777,9.653206,9.627649,9.719929,9.625588,9.604506,9.539382,9.392073,9.332277,9.273667,9.135904,9.002097,8.861332,8.73739,8.607576,8.498421,8.31337,8.318377,8.054812,7.870414,7.878416,7.729409,8.570085,8.317781,8.302059,8.328408,8.216005,8.3952,8.348964,8.157364,8.135497,8.193491,7.978304,8.116851,7.834781,7.749936,7.641284,7.700543,7.46866,7.401514,7.402337,7.322807,7.263507,7.042095,6.952835,6.602967,6.594388,6.592876,7.208691,7.064548,7.036934,7.000835,6.967616,6.973249,7.141574,6.892134,6.854024,6.978161,6.88424,6.881266,6.873252,6.566389,6.500711,6.555625,6.502034,6.30583,6.206545,6.119689,6.035945,6.017882,5.83868,5.843915,5.660266,5.65416,
-14,9.83428,10.00779,10.01755,9.983336,10.01269,9.900629,9.725228,9.81552,9.749435,9.345949,9.590561,9.514644,9.359343,9.261327,9.176738,9.029061,8.90603,8.65021,8.68396,8.702871,8.348495,8.220744,8.116647,7.904629,7.777987,7.643097,8.414937,8.269415,8.412187,8.64296,8.379576,8.205028,8.309661,8.293295,8.179412,8.117852,8.08394,8.009211,7.957469,7.829409,7.734142,7.67469,7.538294,7.439936,7.388039,7.248882,7.10898,7.137413,7.060832,6.769347,6.631251,6.675479,7.142049,7.052355,7.304796,7.31662,7.097163,7.107113,7.072782,7.131285,6.957304,6.908758,6.883761,6.943855,6.767335,6.689769,6.731016,6.655481,6.624169,6.504406,6.463486,6.225601,6.199974,6.040867,6.041928,5.931147,5.841923,5.607056,
