"slide [mm]","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='0mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='2mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='4mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='6mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='8mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='10mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='12mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='14mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='16mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='18mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='20mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='22mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='24mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='26mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='28mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='30mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='32mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='34mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='36mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='38mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='40mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='42mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='44mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='46mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='48mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='50mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='0mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='2mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='4mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='6mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='8mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='10mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='12mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='14mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='16mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='18mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='20mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='22mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='24mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='26mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='28mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='30mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='32mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='34mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='36mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='38mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='40mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='42mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='44mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='46mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='48mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='50mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='0mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='2mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='4mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='6mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='8mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='10mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='12mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='14mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='16mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='18mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='20mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='22mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='24mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='26mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='28mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='30mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='32mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='34mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='36mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='38mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='40mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='42mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='44mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='46mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='48mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='50mm'","Matrix1.L(source2,pickup1) [uH] - gap='45mm' offset='0mm'"
-50,4.549548,4.584768,4.571859,4.569904,4.553298,4.398072,4.488664,4.464827,4.422882,4.415264,4.349353,4.321341,4.29927,4.246833,4.191456,4.16805,4.00225,4.042733,3.965006,3.913511,3.741539,3.786881,3.746514,3.694456,3.582337,3.553412,4.197875,4.197172,4.072989,4.174727,4.132282,4.113402,4.116782,3.990371,4.10653,4.022619,3.901643,3.885369,3.821541,3.929186,3.84366,3.80905,3.780504,3.728355,3.582391,3.541438,3.554617,3.432315,3.459504,3.353024,3.359627,3.283561,3.820211,3.806245,3.782129,3.789649,3.796188,3.737565,3.748611,3.648825,3.741991,3.685728,3.664695,3.646954,3.634758,3.593387,3.529852,3.494298,3.483892,3.40945,3.378406,3.365128,3.2822,3.23426,3.202261,3.057651,3.102487,3.053632,
-46,4.88905,4.789168,4.886358,4.984579,4.964871,4.998331,4.824534,4.797061,4.750406,4.607012,4.822843,4.768374,4.736918,4.619198,4.478905,4.542722,4.492503,4.388311,4.272108,4.174924,4.155705,4.169332,3.988048,3.996998,3.941456,3.785342,4.424665,4.560091,4.530514,4.517523,4.512363,4.365405,4.472775,4.41508,4.412628,4.277308,4.31761,4.20118,4.2647,4.222124,4.163925,4.144578,4.102209,4.053184,3.942307,3.847055,3.866772,3.813987,3.73327,3.671501,3.622876,3.456593,4.141409,4.093533,4.118282,4.126855,4.078771,4.089879,4.070265,4.061685,4.051706,3.946851,3.998188,3.939199,3.918776,3.769658,3.803657,3.811849,3.741655,3.712467,3.56946,3.617221,3.58378,3.491442,3.471064,3.389378,3.328497,3.311058,
-42,5.494108,5.45546,5.302791,5.491044,5.334924,5.151203,5.221581,5.210229,5.21446,5.255877,5.214864,5.201178,4.97738,5.088375,5.014475,4.819131,4.888735,4.696333,4.618059,4.706307,4.559124,4.519779,4.444746,4.385997,4.346232,4.198042,4.800253,4.905405,4.942746,4.882052,4.788696,4.737499,4.838744,4.71067,4.775192,4.544407,4.595932,4.671371,4.602827,4.470896,4.513738,4.485852,4.429572,4.36784,4.330226,4.237501,4.193328,4.09137,4.034439,3.977197,3.825546,3.848718,4.450719,4.42741,4.444417,4.321282,4.407893,4.383788,4.286113,4.360797,4.319704,4.294033,4.259157,4.043936,4.221241,4.213176,4.144847,4.068909,4.018918,3.97023,3.933888,3.898378,3.824647,3.769035,3.646382,3.650899,3.604599,3.553923,
-38,5.886525,5.766418,5.742094,5.72606,5.705896,5.561002,5.687265,5.765177,5.75722,5.551058,5.483536,5.585257,5.41266,5.346367,5.286984,5.208117,5.284711,5.058479,4.985145,4.898394,4.949827,4.850853,4.799459,4.574271,4.626426,4.510537,5.294079,5.264891,5.150331,5.141539,5.244688,5.217645,5.240732,5.166197,5.116316,5.107081,5.021552,4.996342,5.018888,4.943188,4.809457,4.803112,4.640473,4.686736,4.491547,4.523896,4.394348,4.37632,4.321712,4.239709,4.15779,4.006378,4.755059,4.783486,4.627329,4.73469,4.727047,4.69724,4.69075,4.674269,4.669851,4.59367,4.583457,4.344561,4.489578,4.433271,4.410359,4.341171,4.304624,4.254182,4.23385,4.165913,4.076654,4.025752,3.945805,3.915742,3.822272,3.785585,
-34,6.199888,6.374376,6.166109,6.353087,6.160021,6.123281,6.102957,6.113126,6.074884,6.151666,5.890512,5.905183,5.807654,5.751718,5.825177,5.735829,5.534813,5.449011,5.370047,5.310714,5.215817,5.181353,5.16099,4.908923,4.972955,4.850373,5.522106,5.516369,5.50697,5.663214,5.628734,5.629983,5.433883,5.372535,5.522873,5.441151,5.284072,5.441021,5.326659,5.254982,5.07997,4.995062,5.081614,5.024667,4.965357,4.852022,4.693071,4.741526,4.627848,4.529044,4.44953,4.416057,5.086336,4.972671,5.040687,5.074236,5.027539,4.899792,5.014343,5.003808,4.977536,4.902811,4.858267,4.69392,4.813517,4.773252,4.704541,4.50824,4.565352,4.50926,4.495266,4.442735,4.233944,4.29713,4.152057,4.157937,4.077289,4.00621,
-30,6.611683,6.657383,6.643791,6.615173,6.583744,6.575451,6.690581,6.670067,6.434119,6.405944,6.2835,6.27519,6.229849,6.328204,6.090814,6.004448,6.051941,5.811112,5.828442,5.769358,5.427777,5.538258,5.376277,5.410557,5.31087,5.182949,5.83928,5.883314,5.898486,5.964047,5.844024,5.907704,5.916431,5.727923,5.854121,5.65703,5.769084,5.582775,5.559823,5.467807,5.517683,5.250087,5.285604,5.183674,5.115013,5.17011,5.084779,4.932247,4.783643,4.843203,4.727147,4.655455,5.42932,5.372158,5.362364,5.242389,5.240274,5.338353,5.22171,5.260712,5.309657,5.223869,5.163679,5.037993,4.969454,4.945653,4.864104,4.81195,4.634739,4.84277,4.725699,4.539096,4.605926,4.416214,4.365119,4.362142,4.323671,4.216898,
-26,7.046807,7.090866,6.793815,7.010255,6.968833,6.981297,6.909212,6.860634,6.847552,6.804436,6.748822,6.899764,6.628493,6.756398,6.418082,6.375483,6.40298,6.319536,6.089663,5.990318,5.884207,5.654796,5.57525,5.725524,5.644185,5.349729,6.44751,6.251709,6.250356,6.184157,6.13283,6.346418,6.321305,6.101605,6.257807,6.04149,6.07166,5.787567,5.737509,5.795089,5.86788,5.768799,5.751877,5.677519,5.4684,5.341633,5.399507,5.297293,5.241125,5.055352,4.947428,4.929971,5.560545,5.668401,5.680199,5.551784,5.656629,5.507325,5.602149,5.47256,5.527649,5.277871,5.355812,5.415506,5.324377,5.32668,5.281455,5.198653,5.163194,4.945329,5.030239,4.965314,4.861366,4.79639,4.734308,4.600857,4.576222,4.367385,
-22,7.53454,7.50457,7.53093,7.465038,7.484087,7.367245,7.40596,7.301596,7.252121,7.178692,7.166473,6.925967,7.224215,6.918185,6.700169,6.771034,6.642143,6.417276,6.621271,6.351488,6.130676,6.154726,6.031382,5.961498,5.955381,5.81402,6.587138,6.764513,6.695451,6.573556,6.398711,6.508635,6.582931,6.441957,6.541662,6.336598,6.335142,6.238856,6.179577,6.280747,6.183619,6.125416,6.025955,5.823403,5.708633,5.77286,5.574942,5.465686,5.482704,5.406969,5.297706,5.21068,5.806514,5.941211,5.793142,5.973934,5.895239,5.909753,5.715041,5.70778,5.660866,5.761141,5.594597,5.711535,5.603593,5.568633,5.490783,5.331524,5.251129,5.280913,5.125023,5.045624,4.970331,4.889804,4.822603,4.854144,4.792723,4.693998,
-18,8.143213,7.902778,7.85401,7.836107,7.86909,7.614989,7.6012,7.697355,7.615916,7.607214,7.569738,7.444163,7.391095,7.341673,7.231354,7.140163,7.006231,6.902492,6.818092,6.722964,6.572837,6.602656,6.369684,6.217585,6.244846,6.136227,7.15074,6.908096,6.882928,6.926315,6.810872,6.987714,6.94708,6.766429,6.74707,6.811804,6.610321,6.749794,6.499266,6.438831,6.334788,6.394836,6.196036,6.133117,6.1467,6.089333,6.045193,5.858288,5.774019,5.456774,5.46482,5.478945,6.25994,6.119949,6.108856,6.067357,6.042041,6.045711,6.223313,5.984619,5.933528,6.053182,5.968961,5.979283,5.976539,5.675385,5.623499,5.694624,5.650754,5.456317,5.367873,5.302191,5.208567,5.216078,5.048247,5.082963,4.90008,4.915341,
-14,8.12909,8.287643,8.305258,8.272841,8.301568,8.195105,8.039278,8.12053,8.06915,7.698673,7.933739,7.877022,7.748898,7.670408,7.594174,7.467576,7.361692,7.137353,7.177325,7.211947,6.906489,6.800866,6.717555,6.528197,6.441898,6.319777,7.233949,7.086056,7.222953,7.44589,7.200318,7.036364,7.136179,7.119484,7.017325,6.97687,6.935453,6.869393,6.837448,6.730747,6.646746,6.591475,6.468369,6.389867,6.343074,6.214058,6.094285,6.133734,6.075943,5.80748,5.690258,5.74476,6.349533,6.251704,6.491935,6.505075,6.29672,6.311912,6.275117,6.355224,6.178909,6.132361,6.11831,6.189845,6.016769,5.944446,5.985083,5.917046,5.894969,5.778754,5.746013,5.516505,5.507857,5.364181,5.377847,5.265375,5.203964,4.969697,
