"slide [mm]","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='0mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='2mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='4mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='6mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='8mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='10mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='12mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='14mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='16mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='18mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='20mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='22mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='24mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='26mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='28mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='30mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='32mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='34mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='36mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='38mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='40mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='42mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='44mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='46mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='48mm'","Matrix1.L(source2,pickup1) [uH] - gap='25mm' offset='50mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='0mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='2mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='4mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='6mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='8mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='10mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='12mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='14mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='16mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='18mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='20mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='22mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='24mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='26mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='28mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='30mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='32mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='34mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='36mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='38mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='40mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='42mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='44mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='46mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='48mm'","Matrix1.L(source2,pickup1) [uH] - gap='30mm' offset='50mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='0mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='2mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='4mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='6mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='8mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='10mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='12mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='14mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='16mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='18mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='20mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='22mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='24mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='26mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='28mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='30mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='32mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='34mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='36mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='38mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='40mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='42mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='44mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='46mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='48mm'","Matrix1.L(source2,pickup1) [uH] - gap='35mm' offset='50mm'","Matrix1.L(source2,pickup1) [uH] - gap='45mm' offset='0mm'"
-10,8.71755,8.655289,8.757701,8.693227,8.466017,8.633901,8.567418,8.518253,8.45034,8.340104,8.275141,8.201534,7.964903,8.006425,7.935064,7.832815,7.690882,7.606923,7.364331,7.325763,7.255877,7.235021,6.99906,6.820626,6.907412,6.691212,7.494595,7.687225,7.506225,7.62555,7.479532,7.580683,7.382664,7.358533,7.1398,7.21887,7.227483,7.329972,7.029147,6.864041,7.021398,6.816763,6.905094,6.641138,6.419929,6.443444,6.485469,6.271243,6.264465,6.210906,6.059147,5.914408,6.678514,6.562875,6.72186,6.700897,6.676915,6.544766,6.623738,6.461255,6.403398,6.5105,6.31729,6.25032,6.368953,6.1659,6.069289,6.119005,6.021656,5.874064,5.900619,5.797852,5.722077,5.568293,5.322336,5.336577,5.39622,5.290266,
-6,9.019599,9.043127,9.043342,9.22252,8.979069,8.932333,8.900776,8.84513,8.771885,8.703192,8.622405,8.472444,8.461764,8.339826,8.250385,8.132266,8.00292,7.868121,7.794464,7.658603,7.64179,7.383462,7.224934,7.295825,6.96137,6.813806,7.772259,7.811887,7.783874,7.756961,7.749513,7.681694,7.5551,7.613464,7.756736,7.509886,7.328899,7.369636,7.290745,7.248429,7.357799,7.04665,6.971376,7.086304,6.778831,6.681443,6.746823,6.344102,6.562762,6.351854,6.236949,6.032612,6.750108,6.754969,6.937971,6.89516,6.884845,6.824117,6.849599,6.787288,6.710423,6.697393,6.501815,6.468287,6.392387,6.449371,6.237055,6.33987,6.124276,6.149457,6.076005,6.007865,5.7382,5.777618,5.70274,5.487412,5.537297,5.421919,
-2,9.374656,9.340916,9.309253,9.298667,9.300695,8.951051,8.980485,9.160552,9.09133,8.956154,8.931842,8.830857,8.72107,8.435431,8.508915,8.252395,8.295726,8.141077,7.896498,7.912014,7.789761,7.659179,7.532395,7.566155,7.20168,7.057183,8.027376,8.246322,7.74758,8.004103,7.970394,7.950368,8.082461,7.886976,7.670495,7.586329,7.530447,7.599739,7.747851,7.635122,7.39313,7.4693,7.076351,7.283119,7.019253,6.904151,6.931605,6.628645,6.636341,6.524874,6.30875,6.374232,7.163912,6.973899,7.147619,6.792776,6.935669,6.900432,6.864647,6.976358,6.790415,6.764522,6.78871,6.74368,6.715367,6.683732,6.58258,6.513498,6.161,6.374834,6.103199,6.010097,6.039574,5.976798,5.87614,5.750687,5.733994,5.556,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.501284
2,9.626437,9.602171,9.627254,9.376892,9.520446,9.510026,9.411142,9.382407,9.360716,9.248157,9.196361,9.139113,8.986346,8.89224,8.754442,8.630527,8.521579,8.418711,8.298988,8.122606,8.03962,7.892518,7.719887,7.571138,7.429168,7.266082,8.228267,8.247238,8.030101,8.161318,8.330662,8.10822,8.074029,8.000853,8.120424,7.917529,7.856804,7.786697,7.700368,7.803173,7.537846,7.569602,7.532304,7.437447,7.130278,7.218819,6.95696,6.683527,6.723767,6.553487,6.557998,6.422335,7.069515,7.118053,7.11841,7.284847,7.075196,7.03052,7.00758,7.154799,6.914476,6.843992,7.001933,6.726625,6.807513,6.785504,6.562155,6.583325,6.38799,6.286792,6.225949,6.20922,6.05997,6.124849,5.959188,5.769611,5.770532,5.703741,
6,9.803132,9.842565,9.72868,9.807767,9.758058,9.532272,9.629989,9.592951,9.522128,9.457131,9.339181,9.289323,9.153646,9.097996,8.943048,8.785238,8.69224,8.752151,8.476508,8.484616,8.380136,8.008705,8.010003,7.701857,7.565403,7.608752,8.306262,8.319739,8.347933,8.298316,8.315538,8.262638,8.233435,8.00711,8.098934,8.297209,8.107482,8.027177,8.023792,7.743411,7.687734,7.567064,7.463993,7.360096,7.483684,7.049297,7.223313,7.077781,6.778945,6.820588,6.717234,6.467654,7.30388,7.262574,7.12458,7.114806,7.087297,7.091295,6.830707,7.174026,7.101194,6.91113,6.878552,6.942272,6.906123,6.852389,6.602414,6.663018,6.598212,6.357404,6.398859,6.338546,6.232549,6.099556,6.054933,5.919562,5.81202,5.579452,
10,9.968578,10.02822,9.882736,9.9269,9.912692,9.885989,9.795641,9.802315,9.676002,9.599993,9.501548,9.405871,9.302367,9.304093,9.266607,8.916766,8.831294,8.593302,8.590047,8.532063,8.272724,8.180534,8.001862,7.891655,7.86308,7.523094,8.425764,8.413616,8.592579,8.40667,8.394047,8.312896,8.287694,8.064307,8.175177,8.136503,8.073247,8.035734,7.932913,7.84857,7.579679,7.826022,7.749094,7.587557,7.470736,7.317347,7.218402,7.130122,6.913602,6.970887,6.760183,6.489999,7.241006,7.389576,7.306154,7.276229,7.151359,7.095163,7.229849,7.183604,6.998293,7.097163,7.113356,6.856031,6.899792,6.876033,6.823319,6.527381,6.670151,6.547531,6.445421,6.424376,6.127029,6.165998,5.918994,5.938614,5.836603,5.710182,
14,10.33429,9.994334,10.04352,9.993594,10.007,9.906086,9.902756,9.782505,10.01399,9.620205,9.581702,9.523206,9.343842,9.26593,9.168876,9.022297,8.927966,8.984817,8.659222,8.703332,8.492133,8.246994,8.047367,7.903993,7.77215,7.793087,8.453602,8.416987,8.382879,8.329746,8.363044,8.485781,8.477567,8.246355,8.371812,8.107444,8.036414,8.02354,7.945852,7.859015,7.957909,7.626196,7.581808,7.466246,7.337207,7.228821,7.292262,6.97771,6.852366,6.761097,6.746012,6.61899,7.13614,7.31826,7.168331,7.301704,7.2711,7.117662,7.074527,7.059172,6.982952,7.051001,7.075618,6.971278,6.87156,6.899796,6.587266,6.518895,6.605265,6.401302,6.436065,6.329409,6.216892,6.155155,5.904484,5.928578,5.723772,5.614019,
18,9.987772,9.954855,9.931012,9.921435,9.888489,9.829215,9.839381,9.6993,9.693634,9.573856,9.522252,9.612011,9.308814,9.226052,9.136351,9.030633,8.82895,8.743078,8.761359,8.460941,8.189056,8.306671,8.160344,7.893231,7.866776,7.545887,8.319258,8.456953,8.501081,8.48606,8.432896,8.224724,8.42237,8.363953,8.226197,8.050657,8.156793,7.890226,7.860412,7.715812,7.638768,7.542443,7.3736,7.478863,7.376333,7.153406,7.025737,7.09237,6.911225,6.687096,6.694436,6.456127,7.009453,7.207969,7.021704,7.170236,7.036246,6.97536,6.942976,6.877969,6.883491,6.844426,6.930325,6.835111,6.789137,6.7,6.50534,6.590272,6.326944,6.405066,6.322992,6.103217,6.112632,5.900897,5.821781,5.753488,5.63489,5.678775,
22,9.809448,9.708519,9.773216,9.735755,9.74661,9.695324,9.62377,9.792007,9.497308,9.44494,9.409746,9.114733,9.194359,9.074012,8.942634,9.018986,8.709087,8.437765,8.418488,8.317087,8.310327,8.048733,7.896627,7.780938,7.576064,7.621389,8.170151,8.33609,8.329197,8.116397,8.089846,8.1242,8.20785,7.977397,8.11147,7.880585,7.834378,7.903106,7.65933,7.729041,7.704694,7.420625,7.188771,7.418088,7.284934,7.002249,6.887911,6.917935,6.699125,6.541528,6.398522,6.292581,6.845025,6.868556,6.943894,6.90887,6.943241,6.758249,6.899134,6.815413,6.653868,6.603135,6.607339,6.623692,6.633776,6.404097,6.312876,6.414512,6.34042,6.113268,6.203317,6.085982,5.985508,5.874894,5.804588,5.667545,5.485341,5.517221,
26,9.552039,9.516314,9.490254,9.515509,9.419833,9.413384,9.338106,9.292011,9.252106,9.166638,9.079373,8.962377,8.887771,8.836946,8.705201,8.777526,8.342016,8.536019,8.37897,8.06841,7.945433,7.837866,7.895214,7.672599,7.415862,7.394081,7.854963,7.8924,7.833255,8.004133,7.815895,7.926726,7.590708,7.667284,7.634457,7.605752,7.548355,7.617229,7.574428,7.484593,7.432129,7.295102,7.083056,6.945448,6.856519,6.773912,6.846263,6.602249,6.459243,6.363552,6.351267,6.207496,6.606582,6.741763,6.739147,6.426229,6.563708,6.694961,6.600576,6.659692,6.4025,6.505973,6.446769,6.438258,6.230838,6.278308,6.090751,6.181068,6.076921,5.892924,5.989749,5.763154,5.668393,5.568933,5.589119,5.473862,5.442059,5.338815,
