"slide [mm]","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='0mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='2mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='4mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='6mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='8mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='10mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='12mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='14mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='16mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='18mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='20mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='22mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='24mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='26mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='28mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='30mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='32mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='34mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='36mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='38mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='40mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='42mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='44mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='46mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='48mm'","Matrix1.L(source2,pickup2) [uH] - gap='40mm' offset='50mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='0mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='2mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='4mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='6mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='8mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='10mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='12mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='14mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='16mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='18mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='20mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='22mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='24mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='26mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='28mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='30mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='32mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='34mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='36mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='38mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='40mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='42mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='44mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='46mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='48mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='50mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='0mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='2mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='4mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='6mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='8mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='10mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='12mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='14mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='16mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='18mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='20mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='22mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='24mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='26mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='28mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='30mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='32mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='34mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='36mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='38mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='40mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='42mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='44mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='46mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='48mm'","Matrix1.L(source2,pickup2) [uH] - gap='50mm' offset='50mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='0mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='2mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='4mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='6mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='8mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='10mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='12mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='14mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='16mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='18mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='20mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='22mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='24mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='26mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='28mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='30mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='32mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='34mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='36mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='38mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='40mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='42mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='44mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='46mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='48mm'","Matrix1.L(source2,pickup2) [uH] - gap='55mm' offset='50mm'"
-50,6.901339,6.861175,6.898807,6.841995,6.818436,6.814098,6.750749,6.679266,6.7404,6.629767,6.558733,6.470721,6.396399,6.312677,6.257135,6.145709,6.134375,5.974434,5.870085,5.773739,5.769009,5.639073,5.429956,5.356056,5.238124,5.129421,6.277149,6.267467,6.231098,6.226415,6.21204,6.196251,6.164205,6.191306,6.064184,6.025073,5.976406,5.897964,5.841088,5.763367,5.797576,5.620988,5.540752,5.402431,5.379488,5.370504,5.256657,5.108363,5.092506,4.953074,4.953989,4.780361,5.703689,5.736264,5.809921,5.763753,5.742812,5.63972,5.685132,5.593087,5.674306,5.487877,5.438,5.474777,5.349565,5.359874,5.294782,5.150342,5.097205,5.096675,5.031487,4.863475,4.843825,4.788546,4.720739,4.604185,4.518597,4.371993,5.247829,5.15452,5.188486,5.184324,5.213094,5.196602,5.20433,5.095483,5.125504,5.082976,4.971325,5.002919,4.908604,4.905933,4.776807,4.766267,4.671153,4.66796,4.620488,4.51002,4.477753,4.392619,4.328239,4.228289,4.165652,4.089221
-46,7.609024,7.573324,7.537283,7.562379,7.62782,7.481836,7.416863,7.415808,7.316142,7.286567,7.221901,7.136187,7.059866,7.004226,6.868019,6.870332,6.673668,6.699212,6.447672,6.356892,6.240928,6.204426,6.077187,5.869824,5.874348,5.654271,6.855545,6.857825,6.943766,6.850219,6.779021,6.818987,6.731314,6.768477,6.662126,6.614275,6.636023,6.478146,6.42078,6.432809,6.340185,6.245032,6.096099,6.127993,6.007036,5.909121,5.784332,5.61507,5.520666,5.426136,5.229129,5.268449,6.302323,6.291251,6.183046,6.19719,6.194736,6.172373,6.139216,6.084059,6.066825,6.079548,5.940812,5.883174,5.858748,5.755354,5.715532,5.600369,5.629262,5.46727,5.416004,5.328843,5.28282,5.206011,5.05683,5.007825,4.86638,4.772377,5.755976,5.754579,5.750211,5.625262,5.639831,5.660039,5.602464,5.596815,5.504711,5.562903,5.50965,5.419024,5.349889,5.33673,5.233277,5.171497,5.122816,5.094556,4.990343,4.939312,4.869195,4.797659,4.651659,4.638805,4.522426,4.458576
-42,8.268843,8.15004,8.2574,8.24505,8.204377,8.052859,8.133065,8.061652,8.047924,7.937714,7.865096,7.633111,7.811683,7.580484,7.60488,7.401408,7.299578,7.148528,7.058081,6.929698,6.819979,6.669407,6.57837,6.439095,6.34787,6.169213,7.478445,7.446331,7.435941,7.429385,7.390289,7.407436,7.339362,7.178224,7.229731,7.151669,7.131783,7.031275,7.04437,6.892188,6.805877,6.717139,6.63716,6.651579,6.438876,6.389973,6.188276,6.105068,6.089187,5.897857,5.76609,5.64086,6.744104,6.747708,6.715912,6.70109,6.663874,6.627366,6.628378,6.594587,6.545988,6.472938,6.476193,6.369932,6.322722,6.266668,6.208893,6.083851,6.040673,5.94342,5.865924,5.845658,5.615458,5.691185,5.446122,5.381427,5.28977,5.161351,6.16723,6.161714,6.078532,6.09711,6.130181,6.03527,6.097499,6.008396,5.924121,5.991491,5.85306,5.869133,5.731432,5.728441,5.703387,5.633527,5.564347,5.422096,5.359903,5.285484,5.182713,5.163042,5.092126,4.924079,4.850722,4.834017
-38,8.873836,8.917649,8.904482,8.954919,8.896439,8.847304,8.758304,8.735559,8.614889,8.614156,8.503459,8.413264,8.361975,8.147879,8.115896,8.034765,7.983053,7.763724,7.62714,7.537096,7.387724,7.257122,7.125721,6.957983,6.796958,6.670217,8.033053,8.028493,8.122495,8.005879,7.977803,7.930129,7.910873,7.843081,7.787785,7.732098,7.665116,7.557395,7.53445,7.426886,7.361076,7.231414,7.239453,7.040735,6.903263,6.829359,6.730908,6.581271,6.444496,6.365078,6.214465,6.090542,7.325448,7.241256,7.156891,7.178435,7.120283,7.132536,7.107435,7.06722,7.076915,7.057298,6.871135,6.844847,6.766017,6.691404,6.682531,6.555653,6.443249,6.466685,6.26795,6.201719,6.126304,5.987987,5.916445,5.855498,5.661776,5.631053,6.644732,6.590211,6.515854,6.479558,6.508337,6.447648,6.430143,6.375341,6.348718,6.332232,6.283092,6.310207,6.142733,6.091189,6.041262,5.938071,5.872161,5.733182,5.753097,5.734254,5.557772,5.518423,5.458224,5.285161,5.183486,5.085308
-34,9.611325,9.598669,9.460628,9.439226,9.502752,9.490635,9.436897,9.371572,9.288816,9.201781,9.064634,8.979766,8.913803,8.717781,8.694179,8.568774,8.455665,8.35274,8.351574,7.971975,7.916011,7.833438,7.80637,7.461848,7.381604,7.144447,8.568807,8.53918,8.62005,8.502451,8.491459,8.500785,8.559722,8.484139,8.270823,8.257787,8.286326,8.068605,8.016669,7.908888,7.789003,7.811556,7.583942,7.486742,7.374429,7.244931,7.128939,7.05383,6.809101,6.791647,6.705798,6.513002,7.691717,7.696032,7.656747,7.694226,7.648692,7.592235,7.673726,7.646421,7.408685,7.411068,7.367579,7.259771,7.17899,7.272616,7.17385,6.98847,6.882104,6.804552,6.671241,6.604887,6.482267,6.373947,6.269024,6.145544,6.01199,6.003793,6.939906,6.879219,6.861318,6.876359,6.890565,6.837362,6.939607,6.764512,6.799434,6.813534,6.687581,6.576846,6.591613,6.531043,6.391074,6.449199,6.237718,6.212232,6.062115,5.990544,5.895584,5.835649,5.685019,5.641295,5.515197,5.393428
-30,10.20477,10.21847,10.15141,10.1671,10.07272,10.11528,10.00622,10.13077,9.754485,9.790044,9.710376,9.615651,9.46833,9.353586,9.245265,9.089479,9.003699,8.86674,8.71805,8.561733,8.38969,8.144533,8.098356,7.95524,7.851803,7.600636,9.086484,8.975735,9.062122,9.042733,8.985245,8.978524,9.007814,8.98754,8.855023,8.764054,8.627688,8.673823,8.497018,8.484779,8.238585,8.17546,8.117849,8.044126,7.816386,7.827579,7.569685,7.445495,7.321816,7.171732,7.029091,6.881563,8.122314,8.195435,8.200947,8.087222,8.077254,8.03815,7.999518,7.959036,7.910968,7.926042,7.78344,7.848265,7.681813,7.51009,7.464421,7.352596,7.267162,7.154644,7.070379,6.939016,6.891283,6.691857,6.621007,6.6095,6.365249,6.341,7.416165,7.40147,7.287412,7.324168,7.302458,7.326754,7.176158,7.169126,7.229549,7.05174,7.042065,7.013109,6.988538,6.871709,6.833366,6.683343,6.56339,6.592575,6.414195,6.401132,6.288538,6.157558,6.082685,5.900146,5.851317,5.666202
-26,10.80123,10.77843,10.7699,10.72066,10.64516,10.62128,10.58309,10.6213,10.29011,10.49613,10.27084,10.11792,10.02891,9.837223,9.789237,9.612566,9.58326,9.258786,9.213206,9.006876,9.049551,8.68688,8.541155,8.267312,8.10397,8.026076,9.581244,9.570543,9.582541,9.487105,9.532404,9.444826,9.382816,9.342164,9.268236,9.19232,9.136599,9.023507,8.898453,8.850616,8.73703,8.582541,8.518309,8.283642,8.228573,8.104576,7.966028,7.793717,7.685324,7.555143,7.430397,7.292274,8.52154,8.522148,8.509074,8.448589,8.449553,8.448159,8.356833,8.359858,8.29597,8.228918,8.137715,8.054112,8.134543,7.875417,7.795916,7.748181,7.636484,7.535816,7.442626,7.316969,7.201657,7.130423,6.932002,6.809989,6.670114,6.583164,7.705517,7.727417,7.616661,7.603655,7.653075,7.548855,7.46446,7.454282,7.402041,7.501413,7.328964,7.122429,7.164389,7.127351,7.12661,6.962075,6.878592,6.780603,6.778203,6.557452,6.452162,6.382229,6.36298,6.175919,6.114084,5.906859
-22,11.25828,11.2491,10.99351,11.20576,11.04634,11.07234,11.03721,10.96415,10.90108,10.81642,10.5861,10.57292,10.46083,10.39266,10.2286,10.04014,9.828281,9.769812,9.621318,9.355626,9.180392,9.104952,8.833309,8.765883,8.554962,8.39755,10.02795,9.963529,9.976173,9.924824,9.918656,9.871848,9.843886,9.697529,9.587644,9.604612,9.398746,9.414365,9.381527,9.250999,9.145847,9.162451,8.881362,8.653583,8.627716,8.520564,8.334584,8.210959,8.018548,7.885182,7.733766,7.60041,8.787628,8.853554,8.845063,8.931253,8.794866,8.895897,8.741708,8.59427,8.642953,8.538613,8.468322,8.403778,8.3164,8.204396,8.121987,8.021101,7.929337,7.821318,7.797293,7.583033,7.47737,7.339585,7.262778,7.205882,7.076093,6.923513,7.920597,7.884514,8.036438,7.881584,7.882252,7.863067,7.925961,7.821708,7.803123,7.719012,7.588334,7.574505,7.563693,7.390223,7.296272,7.352225,7.263341,7.047378,7.022507,6.846966,6.8228,6.739333,6.639819,6.401837,6.31568,6.195848
-18,11.71876,11.65013,11.65689,11.51891,11.61418,11.52552,11.32537,11.31017,11.29582,11.21464,11.12988,10.76163,10.89066,10.72678,10.51487,10.43538,10.32534,10.01158,9.988174,9.822092,9.629027,9.457455,9.316645,9.12428,8.929478,8.739565,10.37932,10.34336,10.30464,10.30092,10.29763,10.25435,10.20326,10.02632,10.08547,9.994314,9.760343,9.771002,9.683597,9.607668,9.427982,9.361781,9.205479,9.043514,8.825231,8.788386,8.621883,8.496221,8.319941,8.179601,8.008191,8.008205,9.093797,9.208711,9.158217,9.175644,9.1354,9.097383,9.02169,8.989473,8.922849,8.981032,8.819895,8.711287,8.667905,8.50793,8.428925,8.318214,8.218918,8.137135,7.998606,7.857584,7.743741,7.693904,7.577049,7.367884,7.286928,7.090707,8.288676,8.17946,8.220222,8.258148,8.222015,8.174662,8.165343,8.031318,7.985231,7.943596,7.957292,7.807234,7.832596,7.69041,7.632588,7.562325,7.451307,7.343526,7.261612,7.190377,7.016483,6.936229,6.789688,6.71909,6.596098,6.354094
-14,11.92697,12.01349,12.04495,11.99728,11.9686,11.76607,11.68992,11.74818,11.65999,11.45106,11.41525,11.33251,11.19514,11.07846,10.93694,10.57148,10.58303,10.48169,10.09793,10.11523,9.928158,9.756114,9.561508,9.356698,9.233222,8.99808,10.62206,10.63514,10.61103,10.54847,10.57344,10.51426,10.47533,10.51734,10.30697,10.24902,10.14635,10.02083,9.96834,9.831473,9.854812,9.565519,9.462352,9.303412,9.172515,9.058382,8.856205,8.722782,8.554062,8.373083,8.238818,8.048149,9.413968,9.41663,9.470794,9.381315,9.391665,9.243531,9.307393,9.243685,9.221813,8.990165,9.047657,8.936853,8.855402,8.756972,8.633312,8.590352,8.5146,8.322994,8.195051,8.140441,7.933451,7.826738,7.704368,7.577353,7.389585,7.388409,8.448988,8.523857,8.434516,8.364384,8.362799,8.340342,8.300822,8.353842,8.209208,8.2165,8.063187,8.006768,7.919467,7.819015,7.696859,7.595887,7.561536,7.591698,7.376771,7.280804,7.167583,7.063162,6.912146,6.835281,6.693208,6.567781
