"slide [mm]","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='0mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='2mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='4mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='6mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='8mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='10mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='12mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='14mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='16mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='18mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='20mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='22mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='24mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='26mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='28mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='30mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='32mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='34mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='36mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='38mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='40mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='42mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='44mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='46mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='48mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='50mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='0mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='2mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='4mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='6mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='8mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='10mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='12mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='14mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='16mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='18mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='20mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='22mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='24mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='26mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='28mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='30mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='32mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='34mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='36mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='38mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='40mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='42mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='44mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='46mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='48mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='50mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='0mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='2mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='4mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='6mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='8mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='10mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='12mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='14mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='16mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='18mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='20mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='22mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='24mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='26mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='28mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='30mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='32mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='34mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='36mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='38mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='40mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='42mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='44mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='46mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='48mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='50mm'","Matrix1.L(source1,pickup1) [uH] - gap='45mm' offset='0mm'"
-50,9.44744,9.464755,9.444924,9.421832,9.356531,9.172812,9.215461,9.133829,9.033001,8.935757,8.808294,8.70001,8.586268,8.438053,8.287061,8.161427,7.904105,7.849828,7.683037,7.531693,7.243809,7.201448,7.061624,6.907842,6.699628,6.559849,8.510479,8.484345,8.356281,8.443317,8.37044,8.323504,8.283825,8.113202,8.164871,8.031182,7.852561,7.764495,7.635983,7.668988,7.502255,7.392671,7.283582,7.161569,6.920291,6.798703,6.726229,6.508705,6.460497,6.260526,6.179753,6.032121,7.665794,7.628865,7.600858,7.586095,7.572336,7.47533,7.458806,7.321923,7.393216,7.280837,7.194973,7.120141,7.071361,6.958376,6.829935,6.737747,6.648396,6.487139,6.415955,6.309742,6.160904,6.028167,5.920044,5.700701,5.675952,5.553577,
-46,10.49046,10.37333,10.43674,10.54414,10.48709,10.45848,10.2213,10.1279,10.00903,9.781827,9.909597,9.783665,9.665066,9.433116,9.18595,9.163869,8.992637,8.771149,8.54775,8.340284,8.205023,8.125507,7.809386,7.706913,7.553328,7.280747,9.328113,9.461731,9.411259,9.371165,9.328833,9.171829,9.232494,9.130809,9.047036,8.854735,8.845119,8.625533,8.615598,8.510868,8.357956,8.251324,8.124013,7.974978,7.773945,7.588592,7.513176,7.355388,7.175386,7.045136,6.878781,6.621266,8.474717,8.432113,8.43417,8.43381,8.347672,8.349442,8.275333,8.233218,8.165686,8.012021,8.016861,7.883604,7.811496,7.596006,7.556507,7.482175,7.35382,7.242487,7.016768,6.992112,6.865049,6.698695,6.595478,6.436827,6.285075,6.177407,
-42,11.76869,11.69888,11.54093,11.70785,11.50563,11.25115,11.27466,11.18636,11.11874,11.07875,10.94466,10.83408,10.50299,10.50389,10.32991,10.00259,9.97082,9.646481,9.44972,9.43178,9.174613,9.001794,8.800656,8.617341,8.463879,8.171281,10.28789,10.37342,10.40667,10.33141,10.19344,10.08645,10.1599,9.970529,9.981012,9.670434,9.654714,9.660012,9.503116,9.274794,9.239344,9.109276,8.960792,8.7837,8.661207,8.46089,8.320061,8.101578,7.943516,7.779357,7.523185,7.450481,9.275376,9.252805,9.27004,9.112099,9.179047,9.114275,8.979123,9.009969,8.920087,8.855066,8.75182,8.464237,8.57193,8.500985,8.359691,8.180666,8.069233,7.920208,7.810616,7.681,7.507508,7.374908,7.1604,7.066872,6.933975,6.792293,
-38,12.8209,12.68883,12.63958,12.59233,12.51889,12.30631,12.38222,12.40811,12.30753,11.99338,11.82367,11.83319,11.54796,11.36386,11.1855,10.97848,10.95754,10.55808,10.36848,10.14447,10.07748,9.838733,9.655409,9.290574,9.222317,8.975159,11.35247,11.30274,11.17205,11.13435,11.2187,11.15277,11.12317,10.97818,10.86909,10.7556,10.62492,10.5045,10.43049,10.25859,10.0194,9.917084,9.632884,9.595916,9.276242,9.201479,8.954105,8.817121,8.649033,8.456433,8.278562,7.999913,10.06986,10.08157,9.915896,10.00925,9.974833,9.924494,9.862567,9.792825,9.750004,9.59745,9.527541,9.213433,9.291246,9.16037,9.04416,8.891012,8.765011,8.611731,8.51414,8.350816,8.160021,8.018776,7.833912,7.700599,7.515725,7.378438,
-34,13.74734,13.93422,13.69538,13.85019,13.59308,13.50893,13.4132,13.34095,13.22775,13.22496,12.83113,12.73454,12.52979,12.33479,12.29002,12.05683,11.71303,11.48793,11.27553,11.0721,10.82995,10.6428,10.48749,10.0967,10.02681,9.753417,12.10325,12.07397,12.05685,12.19642,12.12045,12.07336,11.81444,11.68543,11.79025,11.62256,11.36514,11.45009,11.22094,11.06391,10.76036,10.55745,10.55817,10.37358,10.20067,9.960139,9.679468,9.622488,9.371211,9.152064,8.952032,8.790383,10.8395,10.72817,10.77519,10.79687,10.71396,10.55602,10.61974,10.56045,10.49032,10.34729,10.2236,9.976954,10.02592,9.896217,9.744835,9.448924,9.425259,9.255706,9.160652,8.992506,8.683046,8.650664,8.388826,8.297711,8.100149,7.929839,
-30,14.74319,14.8003,14.74637,14.69235,14.61739,14.5403,14.60221,14.4881,14.12918,14.01208,13.75566,13.64655,13.47716,13.45142,13.06127,12.84545,12.73921,12.34768,12.22495,12.01375,11.50697,11.472,11.14685,11.04682,10.79556,10.5201,12.8981,12.93144,12.93713,12.98665,12.81368,12.83439,12.79531,12.53568,12.58329,12.293,12.33453,12.03326,11.90114,11.70043,11.65137,11.2455,11.17499,10.94216,10.74724,10.69782,10.47531,10.18831,9.906662,9.839287,9.586091,9.384285,11.6133,11.55679,11.51788,11.36288,11.34994,11.40359,11.23788,11.24672,11.21284,11.06174,10.9275,10.71119,10.55989,10.45353,10.27427,10.12388,9.843771,9.961058,9.733949,9.434772,9.398051,9.093288,8.930497,8.821689,8.676823,8.436239,
-26,15.72676,15.77811,15.42705,15.6218,15.53121,15.47592,15.34048,15.18521,15.07606,14.91601,14.7592,14.80267,14.36906,14.37473,13.8758,13.67296,13.56728,13.32453,12.91849,12.67394,12.39902,11.99387,11.755,11.77731,11.532,11.05673,13.98602,13.74873,13.73263,13.63097,13.53659,13.72221,13.63731,13.32577,13.41997,13.10016,13.05047,12.64244,12.4797,12.44471,12.38388,12.18232,12.02487,11.81763,11.48708,11.21475,11.15421,10.90321,10.71113,10.38557,10.13539,9.990688,12.11208,12.21912,12.2409,12.05229,12.14062,11.93056,11.98598,11.79123,11.80698,11.4584,11.45875,11.4608,11.26702,11.19129,11.03748,10.85559,10.71086,10.38231,10.35311,10.17901,9.96544,9.774344,9.609149,9.345245,9.211482,8.864864,
-22,16.68751,16.64023,16.65986,16.55281,16.5027,16.31873,16.28117,16.09718,15.93206,15.73701,15.59701,15.21016,15.40264,14.92774,14.54955,14.47965,14.18273,13.78069,13.84049,13.39332,13.00079,12.86869,12.57409,12.33224,12.17515,11.85335,14.4817,14.65624,14.56821,14.41944,14.17989,14.24717,14.2652,14.04954,14.06873,13.75559,13.67318,13.46631,13.29127,13.28881,13.05836,12.87371,12.64095,12.29005,12.02853,11.97183,11.62268,11.37326,11.23992,11.01947,10.77759,10.53628,12.6695,12.79294,12.63127,12.79043,12.68453,12.65666,12.40012,12.33415,12.21829,12.26489,11.99648,12.04155,11.83348,11.71084,11.52268,11.25684,11.06338,10.9938,10.71573,10.51216,10.31011,10.1135,9.918754,9.834934,9.650724,9.422314,
-18,17.69937,17.44366,17.34754,17.29597,17.26968,16.93195,16.83876,16.84639,16.66057,16.53531,16.36708,16.08221,15.90269,15.705,15.43124,15.17881,14.8877,14.61058,14.35467,14.08537,13.75445,13.62566,13.20318,12.86998,12.73482,12.45224,15.37439,15.09357,15.0585,15.07607,14.91338,15.03846,14.93766,14.6736,14.57703,14.5482,14.23166,14.28023,13.89815,13.70339,13.46932,13.42099,13.06624,12.87039,12.74277,12.54814,12.35901,11.99865,11.785,11.29793,11.15677,11.03044,13.39786,13.23186,13.20695,13.14545,13.07254,13.04285,13.17717,12.86086,12.73422,12.80306,12.63084,12.56307,12.4522,12.04469,11.88087,11.86658,11.69317,11.38235,11.16398,10.98538,10.76995,10.64999,10.34476,10.26797,9.945399,9.847207,
-14,17.91649,18.09047,18.07441,17.98987,17.97442,17.79611,17.53038,17.53064,17.37893,16.84873,16.99852,16.79258,16.51163,16.28096,16.04539,15.74343,15.46324,15.0582,14.94402,14.80639,14.29979,14.0137,13.76236,13.38297,13.11468,12.81842,15.64586,15.49123,15.62676,15.84181,15.52884,15.28883,15.31532,15.24416,15.0423,14.91325,14.75432,14.58852,14.43508,14.20316,13.99026,13.79658,13.53196,13.3072,13.11536,12.84123,12.56338,12.46878,12.26418,11.83515,11.55715,11.45928,13.65718,13.54933,13.78033,13.76808,13.51122,13.49041,13.39187,13.42779,13.17209,13.03709,12.94259,12.94572,12.65493,12.47773,12.42165,12.24063,12.10185,11.86793,11.71383,11.35155,11.22793,10.94328,10.83208,10.59171,10.40088,10.01922,
