"slide [mm]","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='0mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='2mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='4mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='6mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='8mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='10mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='12mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='14mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='16mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='18mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='20mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='22mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='24mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='26mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='28mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='30mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='32mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='34mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='36mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='38mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='40mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='42mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='44mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='46mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='48mm'","Matrix1.L(source1,pickup1) [uH] - gap='25mm' offset='50mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='0mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='2mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='4mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='6mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='8mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='10mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='12mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='14mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='16mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='18mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='20mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='22mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='24mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='26mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='28mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='30mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='32mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='34mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='36mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='38mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='40mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='42mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='44mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='46mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='48mm'","Matrix1.L(source1,pickup1) [uH] - gap='30mm' offset='50mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='0mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='2mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='4mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='6mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='8mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='10mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='12mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='14mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='16mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='18mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='20mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='22mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='24mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='26mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='28mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='30mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='32mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='34mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='36mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='38mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='40mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='42mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='44mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='46mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='48mm'","Matrix1.L(source1,pickup1) [uH] - gap='35mm' offset='50mm'","Matrix1.L(source1,pickup1) [uH] - gap='45mm' offset='0mm'"
-10,18.68164,18.60364,18.69042,18.56886,18.27791,18.39127,18.23721,18.09313,17.89348,17.66133,17.47428,17.24254,16.83893,16.73874,16.50688,16.23992,15.93588,15.66017,15.22414,15.01561,14.76418,14.57594,14.14165,13.76352,13.69996,13.29882,16.04863,16.23668,16.02625,16.12358,15.92648,15.97255,15.69365,15.58923,15.28095,15.267,15.1724,15.16975,14.74003,14.43201,14.46839,14.12401,14.08687,13.65502,13.2811,13.1612,13.07066,12.68715,12.53013,12.32509,12.01968,11.69893,14.09011,13.96226,14.11837,14.07189,14.00796,13.82695,13.86438,13.62922,13.49105,13.54169,13.25043,13.08334,13.11958,12.80832,12.59294,12.55017,12.32144,12.05571,11.95405,11.7321,11.53069,11.24548,10.84447,10.73144,10.66445,10.42054,
-6,18.97047,18.99588,18.95836,19.13393,18.81488,18.6955,18.58932,18.41535,18.24602,18.04207,17.82948,17.52799,17.37818,17.09992,16.82346,16.5549,16.24814,15.92883,15.68386,15.35509,15.16378,14.70874,14.37678,14.26339,13.7436,13.40605,16.33096,16.36465,16.31491,16.26398,16.20304,16.09015,15.88297,15.8615,15.93752,15.5715,15.27948,15.21562,15.01543,14.85278,14.83104,14.37507,14.14803,14.13679,13.6691,13.42426,13.33607,12.76339,12.84315,12.47241,12.20323,11.82646,14.18965,14.19153,14.36062,14.30443,14.25085,14.14916,14.13261,13.96838,13.83645,13.75169,13.46431,13.31844,13.16266,13.11634,12.78345,12.77636,12.43777,12.3517,12.13433,11.95745,11.54976,11.46932,11.25358,10.89673,10.81429,10.57787,
-2,19.19368,19.14913,19.11396,19.06291,19.0087,18.54729,18.51824,18.61309,18.41482,18.15258,18.00709,17.76233,17.4855,17.04173,16.96992,16.53305,16.41676,16.07997,15.64909,15.50219,15.19847,14.88153,14.57593,14.44797,13.88134,13.54907,16.5015,16.73409,16.17477,16.42539,16.34475,16.27472,16.34004,16.04757,15.75449,15.54857,15.39881,15.36617,15.40283,15.17018,14.7842,14.7313,14.16873,14.25676,13.82762,13.55114,13.4469,12.9744,12.8468,12.58209,12.19457,12.13301,14.5634,14.36041,14.54282,14.12491,14.24244,14.1645,14.07868,14.14004,13.86139,13.76537,13.69626,13.56593,13.43983,13.30048,13.10179,12.92553,12.42571,12.54509,12.13044,11.91216,11.82037,11.63052,11.39863,11.11823,10.97986,10.65945,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.23899
2,19.18263,19.1519,19.14574,18.85552,18.94638,18.87795,18.69559,18.55981,18.42847,18.19147,18.01499,17.82097,17.51532,17.28937,16.98256,16.6724,16.39707,16.1268,15.84666,15.47519,15.22414,14.89865,14.54026,14.22213,13.8918,13.55064,16.51338,16.52023,16.27839,16.38367,16.5327,16.23537,16.14717,15.9913,16.02499,15.72368,15.55522,15.37336,15.17411,15.16491,14.75752,14.64888,14.47291,14.23323,13.78753,13.71723,13.30128,12.8765,12.77796,12.43942,12.28609,12.02332,14.32169,14.36557,14.35357,14.50918,14.24774,14.16907,14.08635,14.17799,13.86878,13.72097,13.79938,13.41115,13.40762,13.28282,12.93962,12.87007,12.55016,12.31487,12.12926,12.003,11.71552,11.66174,11.36923,11.03752,10.91321,10.71725,
6,18.96155,18.99842,18.84963,18.88859,18.79744,18.48847,18.50985,18.38493,18.21474,18.0264,17.76949,17.59729,17.30778,17.11684,16.79701,16.48412,16.22806,16.13764,15.675,15.51355,15.23306,14.68871,14.54521,14.04494,13.72781,13.60546,16.30295,16.32302,16.34483,16.25239,16.22628,16.1097,16.0232,15.71766,15.72539,15.85403,15.55563,15.36405,15.24286,14.82114,14.64264,14.38644,14.14968,13.90866,13.90648,13.30028,13.352,13.04735,12.60506,12.5013,12.24904,11.85727,14.35984,14.31885,14.16511,14.1358,14.06347,14.02858,13.70013,13.99764,13.85528,13.5825,13.48363,13.44653,13.33278,13.17033,12.79532,12.75835,12.59043,12.20903,12.15256,11.96437,11.73165,11.47635,11.2923,11.02426,10.79379,10.43552,
10,18.60974,18.66923,18.49472,18.51176,18.4385,18.34026,18.17358,18.08199,17.86531,17.68982,17.45933,17.24783,17.0038,16.85824,16.65749,16.16348,15.91404,15.51416,15.35678,15.13735,14.71211,14.46134,14.11075,13.84819,13.63448,13.14515,16.06815,16.05489,16.22381,15.99259,15.94011,15.80279,15.71834,15.40755,15.45843,15.31769,15.16852,15.01486,14.8154,14.59484,14.20925,14.31727,14.10792,13.8275,13.57207,13.301,13.05996,12.81317,12.4475,12.36036,12.01766,11.589,14.03859,14.19429,14.09433,14.02079,13.88207,13.78,13.87343,13.76007,13.50422,13.53247,13.46243,13.11519,13.0775,12.9638,12.79521,12.39261,12.43389,12.194,11.97378,11.84713,11.40339,11.3439,10.96201,10.86056,10.62853,10.38643,
14,18.40343,18.07877,18.08877,18.00805,17.98192,17.81324,17.73453,17.5217,17.66659,17.14914,16.99843,16.80604,16.51489,16.28336,16.04604,15.74772,15.51853,15.43768,14.94486,14.84581,14.4806,14.07535,13.72636,13.41399,13.11433,12.99836,15.6708,15.63829,15.58537,15.51141,15.50431,15.61084,15.51819,15.20403,15.25789,14.89271,14.73257,14.61517,14.43318,14.21446,14.22524,13.75738,13.58933,13.3471,13.07898,12.83987,12.7737,12.32044,12.06441,11.8195,11.6783,11.42179,13.63208,13.81956,13.64386,13.76839,13.70933,13.50778,13.41403,13.32781,13.20254,13.20287,13.15339,12.95897,12.76305,12.70523,12.28521,12.09703,12.09783,11.7748,11.7042,11.47623,11.25867,11.07632,10.69739,10.60092,10.28121,10.04773,
18,17.4243,17.40435,17.36846,17.31532,17.22557,17.11278,17.04781,16.83563,16.71805,16.51335,16.35845,16.32129,15.89898,15.68988,15.45779,15.19955,14.87684,14.63952,14.52709,14.07945,13.65116,13.63576,13.34669,12.92511,12.7497,12.28793,15.09037,15.21831,15.25586,15.20759,15.12729,14.87891,15.01465,14.86396,14.673,14.40576,14.42705,14.0522,13.91556,13.67706,13.48216,13.27321,12.97155,12.97717,12.72865,12.39434,12.13851,12.07251,11.75815,11.40778,11.29463,10.91927,13.17139,13.36626,13.16872,13.29595,13.13399,13.02475,12.95982,12.83645,12.77662,12.67197,12.69984,12.51753,12.38814,12.20026,11.89923,11.89097,11.5248,11.50458,11.30531,10.97866,10.87279,10.54585,10.34965,10.16809,9.939085,9.870676,
22,16.63517,16.5256,16.56329,16.5006,16.48305,16.35957,16.21599,16.31341,15.93564,15.7741,15.63154,15.22749,15.19574,14.96382,14.69575,14.65043,14.19058,13.79584,13.64964,13.40906,13.27192,12.86342,12.58598,12.3509,11.98975,11.91652,14.47156,14.65049,14.62131,14.37365,14.3166,14.32334,14.33522,14.04019,14.11133,13.79665,13.65982,13.65148,13.30574,13.26351,13.14324,12.73378,12.3949,12.51949,12.25611,11.85136,11.62763,11.52141,11.19442,10.90656,10.64439,10.41797,12.67509,12.69836,12.76759,12.70996,12.71533,12.50417,12.59923,12.43348,12.21022,12.11325,12.03894,11.99449,11.92002,11.58388,11.40519,11.40844,11.23202,10.90158,10.90627,10.69187,10.47033,10.2553,10.06269,9.81854,9.528791,9.444456,
26,15.77022,15.71956,15.68888,15.67691,15.54062,15.48118,15.33457,15.22384,15.09157,14.92613,14.7438,14.52217,14.33847,14.17279,13.92213,13.86159,13.31432,13.38029,13.09387,12.67648,12.42003,12.18186,12.12033,11.75832,11.36858,11.24727,13.72878,13.74692,13.68522,13.82771,13.60897,13.68267,13.28842,13.3045,13.19806,13.1012,12.94609,12.9452,12.81727,12.63271,12.45673,12.2191,11.89816,11.65451,11.45562,11.25966,11.2131,10.84614,10.59581,10.38545,10.27064,9.994979,12.11447,12.24827,12.22972,11.88838,12.00329,12.09487,11.96232,11.96481,11.6501,11.70027,11.56428,11.48274,11.20156,11.16665,10.88442,10.89463,10.68478,10.40847,10.41501,10.07625,9.874717,9.67585,9.592561,9.378567,9.233859,9.015943,
