"slide [mm]","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='0mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='2mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='4mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='6mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='8mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='10mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='12mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='14mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='16mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='18mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='20mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='22mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='24mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='26mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='28mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='30mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='32mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='34mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='36mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='38mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='40mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='42mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='44mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='46mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='48mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='50mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='0mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='2mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='4mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='6mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='8mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='10mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='12mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='14mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='16mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='18mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='20mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='22mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='24mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='26mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='28mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='30mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='32mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='34mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='36mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='38mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='40mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='42mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='44mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='46mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='48mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='50mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='0mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='2mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='4mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='6mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='8mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='10mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='12mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='14mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='16mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='18mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='20mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='22mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='24mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='26mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='28mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='30mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='32mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='34mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='36mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='38mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='40mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='42mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='44mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='46mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='48mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='50mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='0mm'"
-10,10.8972,10.83986,10.94449,10.88132,10.64515,10.84898,10.79068,10.74121,10.69341,10.60313,10.5533,10.51264,10.29749,10.36291,10.32887,10.2823,10.1398,10.09682,9.862942,9.889875,9.862004,9.924458,9.677093,9.555362,9.731559,9.539474,9.867122,10.05265,9.871439,10.01129,9.838775,9.96881,9.78002,9.752879,9.553676,9.645972,9.686597,9.787616,9.54275,9.363957,9.598671,9.396848,9.537221,9.293388,9.07329,9.156775,9.235018,9.051034,9.133408,9.105228,9.018719,8.901328,9.235609,9.131578,9.315507,9.312763,9.264066,9.11976,9.23571,9.067669,9.041518,9.164007,8.976668,8.928211,9.103872,8.891316,8.840425,8.877394,8.858752,8.715358,8.79393,8.763819,8.717029,8.585621,8.319184,8.411663,8.520335,8.44346,
-6,10.88064,10.92392,10.9141,11.12164,10.89073,10.81876,10.79021,10.76411,10.71558,10.65884,10.6069,10.48827,10.50136,10.39183,10.33999,10.29108,10.1645,10.08178,10.03423,9.935128,10.01251,9.762216,9.645083,9.802069,9.487133,9.410619,9.885904,9.912214,9.890908,9.863102,9.882612,9.829625,9.703373,9.770852,9.923661,9.735581,9.52456,9.601882,9.571991,9.550809,9.681399,9.407285,9.363264,9.558081,9.244729,9.197776,9.323595,8.923176,9.191947,9.069827,8.973736,8.804901,9.131086,9.148832,9.357698,9.303256,9.310702,9.265792,9.287177,9.262789,9.181132,9.174162,8.992219,8.973792,8.9133,9.055269,8.798594,8.946651,8.762856,8.844732,8.819721,8.780897,8.515616,8.622705,8.607768,8.40303,8.493906,8.463165,
-2,10.93451,10.90634,10.86626,10.87157,10.87719,10.54202,10.60139,10.81721,10.74611,10.63107,10.62713,10.55685,10.48253,10.2153,10.33474,10.11526,10.18757,10.08863,9.868995,9.965134,9.870586,9.772801,9.723943,9.85093,9.529643,9.430574,9.924656,10.14148,9.632259,9.892934,9.908386,9.870332,10.03794,9.86029,9.629165,9.561817,9.525219,9.64493,9.843777,9.757986,9.501251,9.634828,9.253607,9.529951,9.286451,9.196019,9.296188,9.054423,9.108902,9.071995,8.870269,9.003476,9.405593,9.191751,9.391174,9.001665,9.150235,9.140324,9.123367,9.263856,9.087517,9.073019,9.12907,9.120706,9.119406,9.134874,9.064884,9.010937,8.658783,8.962687,8.670513,8.608474,8.738155,8.680095,8.643441,8.537166,8.57432,8.464845,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34953
2,10.91863,10.89977,10.92469,10.68569,10.86473,10.83451,10.76158,10.76249,10.75048,10.68386,10.64507,10.61511,10.50555,10.43304,10.32206,10.26207,10.19812,10.13717,10.04649,9.928343,9.900559,9.801515,9.688742,9.600996,9.520179,9.427067,9.919551,9.963472,9.730703,9.873154,10.08308,9.857733,9.83908,9.776249,9.897833,9.723469,9.683905,9.633439,9.582738,9.739329,9.487523,9.559038,9.572001,9.520046,9.255885,9.39171,9.168199,8.921222,9.041816,8.907171,8.988062,8.918455,9.175584,9.217624,9.213044,9.399877,9.184348,9.17865,9.140764,9.308995,9.103175,9.029801,9.218849,8.971362,9.10038,9.082357,8.898039,9.003029,8.783522,8.711928,8.674966,8.695193,8.589562,8.727473,8.612373,8.43175,8.513526,8.496089,
6,10.87155,10.89773,10.80913,10.87551,10.84875,10.63706,10.74895,10.74202,10.66755,10.68364,10.56142,10.56463,10.41873,10.39973,10.30339,10.19987,10.15043,10.31481,10.04826,10.12118,10.07242,9.742669,9.824504,9.552117,9.484125,9.606062,9.867412,9.880714,9.924645,9.87417,9.876991,9.854023,9.849164,9.6239,9.722152,9.943549,9.812759,9.797746,9.764656,9.531669,9.499645,9.418396,9.356524,9.308227,9.463118,9.044037,9.351004,9.200923,8.979615,9.094974,9.055983,8.795454,9.320493,9.284985,9.134605,9.141587,9.097265,9.112467,8.874001,9.25254,9.214287,9.008895,9.012224,9.114721,9.112608,9.051104,8.837633,8.945841,8.928,8.710732,8.770445,8.800068,8.736616,8.604112,8.610617,8.570629,8.479426,8.285919,
10,10.85711,10.91146,10.78727,10.84453,10.82789,10.82037,10.73151,10.78389,10.6704,10.61513,10.55398,10.49368,10.44225,10.42751,10.46623,10.17148,10.14456,9.93778,9.982343,10.01303,9.7813,9.763979,9.637403,9.599048,9.660555,9.331415,9.869207,9.877636,10.05455,9.874708,9.868372,9.807561,9.785716,9.587566,9.731757,9.711121,9.658903,9.647722,9.591518,9.533245,9.293129,9.606615,9.587398,9.474652,9.422629,9.265843,9.262104,9.174377,9.021209,9.165714,8.988898,8.754073,9.19889,9.341683,9.297482,9.250425,9.133696,9.081015,9.25482,9.227346,9.011099,9.166329,9.206875,8.978495,9.070558,9.087676,9.042906,8.771225,8.947564,8.857706,8.787394,8.838224,8.538973,8.696357,8.421453,8.531703,8.471905,8.378739,
14,11.12995,10.80571,10.83628,10.7991,10.83873,10.74558,10.73666,10.6532,10.88505,10.55276,10.52053,10.49471,10.35813,10.31862,10.27425,10.16328,10.13953,10.26431,9.968792,10.08639,9.937402,9.748545,9.598561,9.525737,9.486121,9.56061,9.834574,9.823904,9.807195,9.780085,9.811378,9.972688,9.978445,9.716289,9.904889,9.635596,9.582335,9.62212,9.566615,9.494947,9.66419,9.339012,9.320074,9.285093,9.193478,9.124858,9.268095,9.001428,8.914341,8.8493,8.919271,8.867559,9.127339,9.290935,9.133858,9.289097,9.25417,9.115137,9.078557,9.080724,9.028011,9.0986,9.165553,9.074864,9.027462,9.064288,8.797438,8.724085,8.891396,8.689544,8.791333,8.738987,8.670204,8.640183,8.424683,8.517846,8.34386,8.275501,
18,10.74769,10.75196,10.71796,10.70627,10.68084,10.68266,10.67675,10.57315,10.55477,10.47328,10.46728,10.58799,10.31074,10.27544,10.21129,10.15128,10.00822,9.960757,10.06203,9.808525,9.564349,9.817251,9.701796,9.497513,9.563155,9.304988,9.786951,9.916312,9.961709,9.957749,9.940295,9.702114,9.924529,9.88951,9.795778,9.613617,9.764423,9.499676,9.503174,9.392715,9.363537,9.313263,9.143097,9.356593,9.266146,9.080124,9.002744,9.134211,9.031346,8.825703,8.918439,8.712086,9.035512,9.227381,9.054797,9.244716,9.085271,9.036,9.0269,8.956973,8.963578,8.923509,9.081831,9.010483,9.014493,8.959225,8.746017,8.929552,8.67195,8.763433,8.723518,8.544845,8.587243,8.449899,8.383237,8.358604,8.295637,8.436347,
22,10.65013,10.57716,10.64063,10.62393,10.65432,10.59242,10.52179,10.7242,10.47442,10.40998,10.38043,10.1335,10.24622,10.19549,10.10217,10.26626,9.979162,9.740873,9.80201,9.746738,9.805368,9.556411,9.504328,9.435883,9.316796,9.432031,9.720803,9.915778,9.919884,9.695737,9.670417,9.681709,9.847489,9.613074,9.779115,9.543047,9.512654,9.645607,9.408407,9.532369,9.524104,9.260906,9.083784,9.352702,9.309028,9.016313,8.970413,9.052602,8.865365,8.76654,8.678209,8.655396,9.017076,9.028782,9.148836,9.094313,9.178918,8.941864,9.12661,9.042942,8.887827,8.871145,8.876739,8.936538,8.957492,8.746969,8.684572,8.81671,8.811972,8.581454,8.710213,8.661349,8.606636,8.512764,8.480247,8.410276,8.232372,8.351563,
26,10.60196,10.57525,10.54542,10.58524,10.51195,10.49505,10.43923,10.43108,10.40261,10.34513,10.27616,10.19438,10.1426,10.12322,10.072,10.17025,9.751995,10.0482,9.930856,9.662442,9.607036,9.557462,9.680073,9.522489,9.272794,9.332823,9.630556,9.644305,9.619174,9.823997,9.607961,9.790385,9.4019,9.511535,9.496048,9.478815,9.444274,9.509661,9.534851,9.512401,9.462255,9.353176,9.156683,9.081149,9.033151,8.973508,9.113846,8.862005,8.797458,8.750135,8.804757,8.731248,8.987146,9.089573,9.14534,8.797645,8.939548,9.099604,9.048665,9.084373,8.840617,8.96765,8.946896,8.934035,8.752564,8.821801,8.639094,8.769802,8.700465,8.53096,8.742025,8.469942,8.432038,8.359245,8.439958,8.364201,8.397411,8.331504,
30,10.46846,10.45514,10.47308,10.47337,10.2759,10.41482,10.3417,10.39323,10.31644,10.27661,10.18792,10.12913,9.931983,10.28445,10.1417,9.879329,9.826789,9.95941,9.695292,9.555801,9.498497,9.436915,9.331772,9.294919,9.20452,9.011297,9.53841,9.672141,9.713716,9.530068,9.518314,9.611327,9.493764,9.616656,9.599586,9.368925,9.348545,9.487544,9.287153,9.424038,9.040423,9.144777,9.256975,9.01814,8.936328,9.05056,8.97387,8.785055,8.718015,8.867178,8.747866,8.519061,8.999392,9.08499,8.863818,9.014517,8.857465,8.833184,9.000146,8.803953,8.796974,8.964143,8.830717,8.679659,8.829821,8.77707,8.77179,8.56617,8.40368,8.496034,8.60021,8.52805,8.218089,8.411618,8.241368,8.340721,8.325873,8.278085,
