"slide [mm]","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='0mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='2mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='4mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='6mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='8mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='10mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='12mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='14mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='16mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='18mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='20mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='22mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='24mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='26mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='28mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='30mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='32mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='34mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='36mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='38mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='40mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='42mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='44mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='46mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='48mm'","Matrix1.L(source1,source2) [uH] - gap='25mm' offset='50mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='0mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='2mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='4mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='6mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='8mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='10mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='12mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='14mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='16mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='18mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='20mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='22mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='24mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='26mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='28mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='30mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='32mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='34mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='36mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='38mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='40mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='42mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='44mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='46mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='48mm'","Matrix1.L(source1,source2) [uH] - gap='30mm' offset='50mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='0mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='2mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='4mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='6mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='8mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='10mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='12mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='14mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='16mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='18mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='20mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='22mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='24mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='26mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='28mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='30mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='32mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='34mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='36mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='38mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='40mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='42mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='44mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='46mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='48mm'","Matrix1.L(source1,source2) [uH] - gap='35mm' offset='50mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='0mm'"
-50,9.919538,9.877075,9.915683,9.845696,9.856603,9.677439,9.779756,9.788041,9.753729,9.71899,9.602433,9.650179,9.599639,9.499792,9.477769,9.430497,9.20623,9.258679,9.261093,9.152156,8.944769,9.038853,8.973229,8.911183,8.858538,8.758074,9.187028,9.096026,8.984037,9.12212,9.108537,9.068402,9.075573,8.889946,9.042305,8.957442,8.804669,8.759864,8.739613,8.838137,8.797691,8.79669,8.747253,8.682453,8.495906,8.465424,8.559685,8.346091,8.454609,8.419205,8.317414,8.322169,8.558609,8.519335,8.532247,8.54046,8.541558,8.481545,8.483504,8.355236,8.525659,8.447042,8.444323,8.412314,8.380587,8.402758,8.301919,8.298729,8.269372,8.195472,8.179534,8.18334,8.10231,8.093125,8.020734,7.854149,7.984543,7.928282,
-46,9.889199,9.776805,9.887058,10.04366,9.972076,10.04029,9.816526,9.81778,9.740349,9.572574,9.805079,9.811825,9.788506,9.663092,9.422852,9.587676,9.507189,9.460837,9.232738,9.166802,9.119689,9.220955,8.959352,9.028276,8.975153,8.781172,9.121172,9.276959,9.316842,9.229044,9.274257,9.04321,9.223298,9.153541,9.120548,8.958603,9.079002,8.870878,9.032778,9.014228,8.949438,8.913382,8.84389,8.780021,8.695024,8.560337,8.669776,8.600945,8.524666,8.48703,8.42209,8.229228,8.66964,8.644855,8.637382,8.681614,8.612501,8.627863,8.618822,8.586501,8.562765,8.420953,8.583875,8.489059,8.470253,8.331761,8.392181,8.414335,8.360668,8.305132,8.148447,8.287242,8.182085,8.160854,8.124498,8.068039,8.034835,7.995596,
-42,10.27405,10.22948,10.05612,10.24835,10.06721,9.883307,9.953165,9.954394,9.948125,10.0086,10.00337,9.963645,9.743109,9.845509,9.778468,9.533783,9.707693,9.409979,9.357727,9.466482,9.329801,9.291013,9.2336,9.191192,9.172269,9.024713,9.253572,9.390653,9.410048,9.376665,9.213249,9.178419,9.32973,9.153439,9.283175,8.960814,9.034457,9.171037,9.140297,8.948849,9.020516,9.028039,8.974269,8.931811,8.900316,8.80023,8.728779,8.649005,8.610556,8.538765,8.385065,8.46161,8.799423,8.699533,8.759711,8.589258,8.745086,8.70179,8.575532,8.715497,8.665566,8.664109,8.592835,8.355715,8.611653,8.554831,8.536805,8.443792,8.455075,8.393946,8.365276,8.329049,8.240718,8.252644,8.090138,8.156702,8.109531,8.079775,
-38,10.36622,10.20424,10.19636,10.18382,10.15736,9.98607,10.10097,10.27083,10.18479,9.997294,9.923212,10.03421,9.851608,9.804408,9.740374,9.66145,9.794908,9.532141,9.45084,9.386746,9.483156,9.374546,9.358042,9.094138,9.192392,9.10179,9.493781,9.532545,9.350546,9.304324,9.445035,9.431129,9.475762,9.407293,9.366151,9.347264,9.345222,9.262735,9.240748,9.23392,9.105957,9.082135,8.88576,8.988759,8.761686,8.859282,8.67975,8.711501,8.705593,8.631893,8.594432,8.405336,8.82541,8.855323,8.703675,8.842453,8.864184,8.826512,8.802359,8.796442,8.800934,8.737845,8.739373,8.437605,8.636198,8.599403,8.588253,8.566744,8.50484,8.492937,8.503977,8.420974,8.32929,8.306007,8.24454,8.230278,8.169483,8.143501,
-34,10.34576,10.59187,10.32028,10.52429,10.34551,10.28043,10.26405,10.27268,10.22242,10.32519,10.06979,10.07856,9.975807,9.935855,10.05564,9.998963,9.736196,9.659426,9.584075,9.51299,9.440865,9.498164,9.50497,9.194589,9.30802,9.217226,9.482168,9.45683,9.449236,9.640993,9.580127,9.611053,9.395988,9.352706,9.488564,9.425586,9.250484,9.467483,9.34527,9.304689,9.084921,8.99264,9.135229,9.114933,9.055981,8.9525,8.795761,8.87312,8.783111,8.70812,8.644045,8.663284,8.997866,8.835923,8.937641,8.986137,8.917569,8.778935,8.927652,8.918268,8.899147,8.80838,8.787586,8.589661,8.75627,8.682827,8.678657,8.473046,8.580425,8.547476,8.505683,8.507578,8.254414,8.408911,8.236546,8.29228,8.29663,8.170398,
-30,10.43104,10.47877,10.47704,10.44901,10.40081,10.41241,10.5568,10.58232,10.29411,10.25065,10.16299,10.14301,10.10738,10.21105,10.00468,9.876466,10.00581,9.73836,9.799311,9.77214,9.371446,9.549233,9.384992,9.450541,9.391672,9.300033,9.535949,9.584252,9.547798,9.67791,9.527789,9.637878,9.601304,9.439072,9.588741,9.386,9.497042,9.333507,9.323898,9.246203,9.324878,9.00616,9.09796,8.993922,8.959743,9.085811,8.966685,8.809959,8.693335,8.857209,8.737739,8.680066,9.071267,9.025864,9.040495,8.872431,8.879022,9.021684,8.829353,8.942485,8.945637,8.935895,8.854016,8.738599,8.685761,8.669138,8.578835,8.563727,8.38911,8.671182,8.604409,8.376729,8.486498,8.297776,8.27206,8.336109,8.321422,8.269155,
-26,10.54484,10.60179,10.25796,10.52021,10.49771,10.46304,10.43572,10.39267,10.36741,10.36837,10.28985,10.48991,10.1777,10.34491,10.0102,9.967356,10.10011,10.01798,9.750457,9.661668,9.581257,9.369608,9.293934,9.530253,9.464765,9.158462,9.858126,9.659213,9.641385,9.583388,9.532085,9.837547,9.785852,9.52332,9.703724,9.4814,9.559991,9.238248,9.20776,9.307537,9.406086,9.312682,9.332129,9.295773,9.055568,8.955251,9.079315,9.003689,9.002723,8.753758,8.692578,8.764082,8.959708,9.111486,9.138946,8.95264,9.060753,8.931395,9.066333,8.929583,9.00377,8.706968,8.810187,8.921486,8.877427,8.895834,8.821659,8.786827,8.776636,8.54628,8.687483,8.607628,8.588545,8.579751,8.475734,8.37667,8.377095,8.16008,
-22,10.70508,10.68655,10.68911,10.64839,10.66847,10.5659,10.6035,10.51966,10.46555,10.41427,10.39028,10.16344,10.50133,10.20608,9.995155,10.09035,9.977048,9.762478,10.04464,9.769268,9.554424,9.609368,9.520282,9.476812,9.522701,9.42547,9.734025,9.904855,9.899949,9.687457,9.537737,9.667669,9.81334,9.614742,9.728438,9.548251,9.528983,9.487709,9.427324,9.554324,9.511066,9.422564,9.358026,9.171758,9.077877,9.195567,8.992378,8.916389,9.007313,8.946404,8.880698,8.787023,8.989509,9.139059,8.975191,9.190693,9.127967,9.130874,8.948925,8.924836,8.902613,9.048695,8.843071,8.993483,8.891357,8.926346,8.861877,8.667699,8.613792,8.712179,8.505636,8.479034,8.449893,8.395355,8.331065,8.464371,8.401989,8.344472,
-18,10.97023,10.75955,10.70708,10.68327,10.70538,10.47468,10.45823,10.56734,10.4913,10.51065,10.49037,10.38551,10.33583,10.31311,10.22224,10.12046,10.05212,9.996034,9.92017,9.863387,9.727065,9.80547,9.577461,9.490615,9.597635,9.494838,10.00437,9.780215,9.771384,9.79342,9.69622,9.900556,9.888707,9.661843,9.652413,9.758296,9.571837,9.747935,9.489465,9.462593,9.354287,9.488745,9.287463,9.262884,9.293599,9.270285,9.252852,9.144282,9.072662,8.741105,8.783269,8.879192,9.248798,9.113994,9.070252,9.054153,9.01192,9.024205,9.214166,8.979262,8.984274,9.133002,9.034478,9.076791,9.077966,8.788117,8.746998,8.872963,8.851943,8.697823,8.591066,8.556429,8.515511,8.591439,8.398753,8.498163,8.280808,8.437617,
-14,10.6326,10.80348,10.8146,10.80351,10.82419,10.75521,10.55736,10.68621,10.62275,10.25734,10.54801,10.47614,10.40673,10.32397,10.27279,10.18048,10.13841,9.898855,9.968528,10.07412,9.780519,9.722379,9.65825,9.536439,9.47823,9.374709,9.841973,9.696245,9.85425,10.06333,9.823522,9.65456,9.778872,9.780044,9.688982,9.670342,9.638626,9.586106,9.57278,9.470487,9.408068,9.408966,9.317072,9.253467,9.227053,9.129649,9.051675,9.179407,9.138604,8.900262,8.80504,8.902723,9.104552,8.996692,9.278518,9.294829,9.081821,9.0851,9.097239,9.164578,8.997444,8.964795,8.959415,9.077997,8.88254,8.881903,8.943335,8.907136,8.890645,8.825171,8.834676,8.607268,8.651206,8.489149,8.584419,8.515674,8.486369,8.257214,
