"slide [mm]","Matrix1.L(source1,pickup2) [uH] - gap='45mm' offset='0mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='0mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='2mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='4mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='6mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='8mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='10mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='12mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='14mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='16mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='18mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='20mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='22mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='24mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='26mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='28mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='30mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='32mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='34mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='36mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='38mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='40mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='42mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='44mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='46mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='48mm'","Matrix1.L(source1,pickup2) [uH] - gap='60mm' offset='50mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='0mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='2mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='4mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='6mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='8mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='10mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='12mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='14mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='16mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='18mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='20mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='22mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='24mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='26mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='28mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='30mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='32mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='34mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='36mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='38mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='40mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='42mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='44mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='46mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='48mm'","Matrix1.L(source1,pickup2) [uH] - gap='65mm' offset='50mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='0mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='2mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='4mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='6mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='8mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='10mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='12mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='14mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='16mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='18mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='20mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='22mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='24mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='26mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='28mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='30mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='32mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='34mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='36mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='38mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='40mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='42mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='44mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='46mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='48mm'","Matrix1.L(source1,pickup2) [uH] - gap='70mm' offset='50mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='0mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='2mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='4mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='6mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='8mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='10mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='12mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='14mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='16mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='18mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='20mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='22mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='24mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='26mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='28mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='30mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='32mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='34mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='36mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='38mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='40mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='42mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='44mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='46mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='48mm'","Matrix1.L(source1,pickup2) [uH] - gap='75mm' offset='50mm'"
-50,,1.177179,1.138607,1.192366,1.202704,1.148724,1.226659,1.145419,1.169193,1.153495,1.167402,1.123389,1.162775,1.169309,1.131054,1.130638,1.109392,1.133572,1.134644,1.154914,1.093063,1.071381,1.089523,1.054738,1.071949,1.087147,1.074227,0.9503596,0.9361458,0.9809481,0.9400866,0.9340318,0.981714,0.9730802,0.9069269,0.9432348,0.9439324,0.9520637,0.9145026,0.897633,0.8960235,0.9111369,0.9504359,0.8937531,0.9290273,0.9299385,0.8617377,0.9062433,0.909299,0.8976211,0.8781611,0.928988,0.8582538,0.7691548,0.7912775,0.7094746,0.7936968,0.7458809,0.7806711,0.7237545,0.7957032,0.7300886,0.7628653,0.7650646,0.7555789,0.7169747,0.7447856,0.7076901,0.7415092,0.7485263,0.7746827,0.7423707,0.7262875,0.7327857,0.7270275,0.6976484,0.7156369,0.7340669,0.7156588,0.6139368,0.5688459,0.6171826,0.5853542,0.5964106,0.6177188,0.6062003,0.6174915,0.5810645,0.58569,0.6361926,0.5832188,0.6099812,0.6078262,0.611443,0.6086399,0.5877941,0.5971115,0.5909495,0.5795224,0.6076434,0.6007239,0.5659711,0.594069,0.5574784,0.5883468
-46,,1.512896,1.614796,1.566423,1.524668,1.54821,1.56508,1.600292,1.533649,1.585906,1.505099,1.49719,1.534135,1.50224,1.500778,1.520844,1.46473,1.498529,1.509507,1.484082,1.479739,1.461099,1.432076,1.411003,1.404426,1.391959,1.382182,1.283458,1.261684,1.299267,1.302526,1.302245,1.336348,1.299924,1.23938,1.273233,1.247851,1.229704,1.230558,1.245934,1.285485,1.241349,1.281709,1.197555,1.227856,1.181723,1.236133,1.170062,1.17408,1.215302,1.17369,1.121637,1.176948,1.08,1.07535,1.091444,1.080353,1.10773,1.086393,1.027282,1.057749,1.026567,1.049815,1.040776,1.007792,1.014681,0.9967631,1.034094,1.036963,1.039314,1.034086,0.9923022,1.000815,0.9985963,0.9709584,0.9872599,0.9719283,0.9552656,0.9393159,0.888547,0.8927895,0.8580528,0.8828926,0.8951447,0.872984,0.8755254,0.8533889,0.8915504,0.8633011,0.8824428,0.8801669,0.8362904,0.8663856,0.8293629,0.8783569,0.8115507,0.7973098,0.8532531,0.8685612,0.8351201,0.7971948,0.8253351,0.785856,0.8012839,0.8032933
-42,,1.921046,1.925243,1.939887,1.864099,1.877993,1.96772,1.95605,1.84725,1.842553,1.838554,1.883106,1.832468,1.871545,1.876297,1.865018,1.797541,1.769698,1.787141,1.797759,1.739819,1.766955,1.743724,1.673097,1.693097,1.695112,1.655752,1.585787,1.608156,1.621499,1.534363,1.600361,1.621972,1.624898,1.55231,1.57014,1.611969,1.560964,1.574262,1.541555,1.580391,1.563185,1.489555,1.545302,1.503479,1.500391,1.498251,1.510642,1.475794,1.465785,1.431348,1.458966,1.37035,1.38742,1.376188,1.363575,1.34205,1.360977,1.346855,1.357492,1.320497,1.337163,1.280319,1.321532,1.304277,1.300204,1.34876,1.325053,1.342719,1.29695,1.278209,1.195638,1.267638,1.223712,1.252265,1.227895,1.243965,1.229511,1.215513,1.15741,1.13657,1.145887,1.111926,1.092687,1.143964,1.109294,1.129599,1.124199,1.162344,1.10532,1.148122,1.137293,1.070942,1.064717,1.10159,1.084779,1.141194,1.058743,1.061138,1.056339,1.046404,1.023199,1.024935,1.023551,0.9872456
-38,,2.215207,2.251319,2.265316,2.261043,2.272513,2.208599,2.2437,2.226856,2.203795,2.142349,2.141754,2.149942,2.222401,2.117996,2.150292,2.090784,2.073129,2.112886,2.02611,2.082885,2.042853,2.027818,1.983218,2.006984,1.900722,1.854459,1.951097,1.920675,1.926741,1.924177,1.929567,1.946997,1.847455,1.904982,1.901494,1.838333,1.891859,1.814951,1.846607,1.789159,1.826464,1.846572,1.800417,1.800836,1.792221,1.712439,1.732492,1.708416,1.724199,1.701732,1.631048,1.638674,1.576096,1.596264,1.60776,1.594825,1.578847,1.564084,1.62039,1.576327,1.567177,1.602401,1.543478,1.56347,1.540698,1.559296,1.543167,1.481812,1.510192,1.531412,1.522017,1.493887,1.51481,1.454441,1.468693,1.364023,1.429698,1.424159,1.391001,1.357203,1.37295,1.371694,1.369995,1.371504,1.333752,1.375056,1.348277,1.397438,1.338695,1.371878,1.318705,1.23975,1.309105,1.325729,1.321513,1.270035,1.284979,1.246349,1.237795,1.259024,1.241717,1.261893,1.226469,1.163973
-34,,2.472042,2.506397,2.560078,2.57665,2.582623,2.531482,2.571578,2.553301,2.522593,2.442047,2.438737,2.435785,2.410732,2.393957,2.375334,2.397546,2.407073,2.310441,2.25525,2.326622,2.240891,2.243735,2.251878,2.242229,2.139242,2.163849,2.186448,2.196221,2.137007,2.161344,2.121516,2.143771,2.181887,2.144366,2.101461,2.186679,2.072715,2.138884,2.056688,2.035537,2.083293,2.090653,2.057723,1.976472,1.956331,1.946377,1.90143,1.929057,1.940759,1.93564,1.917295,1.874709,1.839004,1.86792,1.888819,1.877673,1.810767,1.757868,1.873204,1.772355,1.7784,1.839969,1.828001,1.768582,1.833102,1.802834,1.766172,1.768723,1.735212,1.750745,1.72509,1.722382,1.643605,1.665159,1.674563,1.657804,1.608392,1.572256,1.598412,1.5809,1.603193,1.610148,1.552661,1.611192,1.600532,1.526836,1.590336,1.592936,1.545122,1.572244,1.514379,1.521813,1.536448,1.490772,1.528031,1.498517,1.444599,1.487493,1.434027,1.418012,1.427959,1.444745,1.361879,1.38172
-30,,2.845204,2.761783,2.725733,2.837914,2.754016,2.689895,2.840347,2.725042,2.780425,2.713546,2.747812,2.658701,2.652525,2.638249,2.673113,2.655919,2.562005,2.529916,2.535611,2.483916,2.482544,2.547786,2.479413,2.385288,2.344143,2.38546,2.403076,2.432246,2.477604,2.423093,2.420234,2.382208,2.420357,2.3355,2.334991,2.312183,2.328335,2.353117,2.333967,2.280284,2.291799,2.248322,2.242504,2.254514,2.216639,2.224249,2.156226,2.196365,2.175879,2.120276,2.031264,2.060347,2.02074,2.048401,2.072961,2.08489,2.088338,2.022512,2.00509,2.015151,2.018757,2.009364,2.064448,2.028393,1.985247,1.989825,1.972162,1.987366,1.96946,1.960547,1.836434,1.865013,1.908558,1.886793,1.864942,1.848837,1.83279,1.78974,1.798014,1.778645,1.749025,1.730221,1.750729,1.76605,1.75325,1.791583,1.772505,1.76172,1.709963,1.717203,1.71566,1.743226,1.734104,1.698373,1.676227,1.632344,1.693765,1.670752,1.579103,1.565133,1.56513,1.593576,1.530705,1.50216
-26,,3.058219,3.044752,3.004587,2.965586,3.052312,3.066583,2.984707,2.988832,3.033101,2.920272,2.938786,2.993929,2.88069,2.842754,2.906713,2.82942,2.792636,2.754536,2.723351,2.766032,2.712816,2.719175,2.613198,2.565446,2.622162,2.555749,2.594773,2.577062,2.662185,2.567182,2.559165,2.526517,2.595761,2.594891,2.540271,2.579411,2.553508,2.58169,2.479587,2.466844,2.520163,2.483682,2.479837,2.379504,2.413178,2.453358,2.375407,2.371593,2.332306,2.230125,2.275014,2.287048,2.266891,2.22297,2.280924,2.236246,2.259807,2.274251,2.279619,2.175698,2.180054,2.169913,2.184509,2.147491,2.184364,2.123318,2.171533,2.182963,2.127128,2.076583,2.122725,2.087639,2.065776,2.046311,2.028436,1.993356,1.970563,1.934848,1.926562,1.970751,1.870939,1.985033,1.909316,1.955628,1.967406,1.91553,1.990613,1.92898,1.947777,1.908226,1.924921,1.890269,1.822536,1.820994,1.799922,1.821833,1.845026,1.747486,1.733707,1.724316,1.760297,1.724157,1.664933,1.684093
-22,,3.329522,3.261307,3.158355,3.183797,3.268678,3.14193,3.273271,3.177025,3.164995,3.08591,3.103384,3.086115,3.045405,3.106159,3.05565,2.988683,2.964581,2.928006,2.968345,2.850346,2.837775,2.795127,2.755176,2.72643,2.759311,2.739464,2.814388,2.746448,2.768486,2.780466,2.754333,2.802355,2.79669,2.73823,2.687845,2.740814,2.728394,2.69175,2.733249,2.618242,2.534623,2.652672,2.558455,2.612192,2.56664,2.544894,2.474357,2.498456,2.469098,2.381623,2.360733,2.394182,2.390632,2.420436,2.462837,2.450665,2.449434,2.419591,2.471946,2.441107,2.408406,2.391621,2.402818,2.362471,2.35094,2.302264,2.268681,2.278003,2.21884,2.289549,2.266423,2.23921,2.170921,2.122766,2.156104,2.153685,2.060038,2.088062,2.155634,2.126702,2.148649,2.071528,2.100263,2.132044,2.063278,2.06342,2.124715,2.050912,2.070332,2.100676,2.032467,2.07544,2.038613,1.997904,1.989457,1.966443,1.914636,1.898147,1.927777,1.868792,1.897059,1.866524,1.807824,1.833737
-18,,3.430758,3.339027,3.423416,3.326695,3.355751,3.327266,3.391316,3.417287,3.346021,3.355048,3.259884,3.301444,3.238364,3.19356,3.159062,3.19786,3.223571,3.00994,3.091791,3.037853,3.060914,3.016164,2.908038,2.943455,2.951472,2.793143,2.929754,2.912198,2.911219,2.991814,2.928012,2.86072,2.858977,2.837511,2.87692,2.881662,2.892079,2.902332,2.793896,2.763063,2.829964,2.722533,2.75386,2.714587,2.705868,2.68481,2.673341,2.682931,2.638212,2.54307,2.532468,2.446565,2.611796,2.475844,2.549293,2.529963,2.526215,2.553327,2.47637,2.489307,2.584021,2.490631,2.547803,2.455616,2.453815,2.414203,2.460857,2.454598,2.367232,2.350693,2.364791,2.298062,2.303113,2.322584,2.284167,2.259633,2.253028,2.210509,2.25305,2.281944,2.219672,2.259922,2.273153,2.26476,2.204617,2.234459,2.241521,2.154175,2.152584,2.163317,2.136309,2.152035,2.159809,2.082007,2.126966,2.105873,2.038475,2.000592,1.994923,2.007462,1.953619,1.936182,1.94598,1.882974
-14,,3.518868,3.385741,3.446455,3.43377,3.523829,3.537115,3.424064,3.408688,3.473079,3.452264,3.372383,3.338962,3.376127,3.40121,3.263407,3.250912,3.256739,3.25702,3.142618,3.206489,3.129694,3.03215,3.006693,3.01563,2.99537,2.856379,3.019054,3.058873,3.126406,3.091444,3.004975,3.019929,2.967347,2.991682,3.013305,2.961689,2.883204,2.97317,2.923639,2.955625,2.938319,2.900348,2.810438,2.775764,2.845194,2.742542,2.614693,2.717376,2.723531,2.602376,2.646055,2.589866,2.729199,2.729913,2.639957,2.712054,2.677115,2.61976,2.627056,2.600946,2.592354,2.645162,2.567796,2.55973,2.635305,2.559639,2.477008,2.505973,2.461787,2.494956,2.48762,2.460776,2.382085,2.403902,2.407964,2.348591,2.240672,2.228577,2.336671,2.31702,2.319784,2.365303,2.360244,2.368086,2.295457,2.305174,2.329838,2.340407,2.325581,2.305872,2.282214,2.24685,2.282498,2.189167,2.21244,2.178486,2.133086,2.18352,2.145543,2.074336,2.163834,2.086232,2.007451,2.045974
