"slide [mm]","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='0mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='2mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='4mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='6mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='8mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='10mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='12mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='14mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='16mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='18mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='20mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='22mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='24mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='26mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='28mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='30mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='32mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='34mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='36mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='38mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='40mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='42mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='44mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='46mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='48mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='50mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='0mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='2mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='4mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='6mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='8mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='10mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='12mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='14mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='16mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='18mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='20mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='22mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='24mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='26mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='28mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='30mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='32mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='34mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='36mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='38mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='40mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='42mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='44mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='46mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='48mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='50mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='0mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='2mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='4mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='6mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='8mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='10mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='12mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='14mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='16mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='18mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='20mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='22mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='24mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='26mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='28mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='30mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='32mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='34mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='36mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='38mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='40mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='42mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='44mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='46mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='48mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='50mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='45mm' offset='0mm'"
-50,33.35494,33.56827,33.45179,33.57572,33.54194,33.02864,33.36731,33.38008,33.22678,33.31723,33.2789,33.20801,33.10013,33.11157,33.01444,33.02751,32.68757,32.91887,32.74273,32.71766,32.31287,32.55585,32.58971,32.55939,32.34626,32.51787,32.64021,32.86525,32.44199,32.67717,32.71984,32.52127,32.63319,32.31663,32.83375,32.57202,32.13422,32.27473,32.20197,32.65123,32.37111,32.19361,32.31215,32.277,31.98856,31.87316,32.03362,31.8355,31.95648,31.74085,31.95285,31.83212,32.0375,32.04877,31.99,31.96205,32.12932,32.0434,32.04445,31.74169,32.08369,31.88208,31.9711,31.94326,31.8577,31.82381,31.78255,31.72928,31.82515,31.74521,31.73678,31.79112,31.63436,31.71429,31.67877,31.25959,31.52117,31.62683,
-46,33.52464,33.23073,33.4364,33.68501,33.664,33.71762,33.44578,33.31838,33.27726,33.02775,33.67491,33.50307,33.46647,33.19791,33.10664,33.21049,33.1528,32.99382,32.89375,32.68941,32.79152,33.0267,32.4407,32.69901,32.6592,32.37646,32.53188,32.92539,32.75967,32.86053,32.79923,32.49204,32.70475,32.69281,32.79351,32.40565,32.51665,32.37927,32.58754,32.47547,32.37994,32.41887,32.51653,32.55489,32.24922,32.04639,32.15344,32.28099,32.11621,32.05158,32.01454,31.73612,32.24356,32.13117,32.21879,32.18722,32.18805,32.14943,32.1821,32.41874,32.27987,31.95994,32.10199,32.11827,32.08635,31.6743,31.94156,31.94516,31.86149,31.84505,31.53378,31.76103,31.88592,31.76429,31.75631,31.70904,31.63451,31.74756,
-42,34.04243,33.99837,33.58362,34.02258,33.64746,33.35108,33.51638,33.54694,33.53697,33.87387,33.6693,33.73185,33.26565,33.70618,33.50383,33.22172,33.40425,33.11222,32.89294,33.23413,33.21669,33.23897,33.06034,32.9127,32.92084,32.67538,32.67647,33.0183,33.07762,32.97741,32.82986,32.70766,32.8733,32.68342,32.84216,32.35952,32.62753,32.82372,32.62542,32.40518,32.63825,32.5934,32.52588,32.58467,32.46137,32.486,32.40646,32.24989,32.34764,32.23828,31.88456,32.21756,32.28804,32.41382,32.40345,32.02892,32.22357,32.2406,32.10075,32.23696,32.20479,32.14956,32.11235,31.58359,32.11286,32.45999,32.11512,32.07184,32.02779,31.94548,31.94787,31.91027,32.02978,31.85698,31.64394,31.79332,31.7259,32.03416,
-38,34.10983,33.87494,33.79512,33.73237,33.78792,33.47874,33.8021,33.87495,34.11724,33.58894,33.51268,33.98528,33.50792,33.48781,33.40414,33.2706,33.58991,33.17434,33.08928,33.00963,33.24419,33.14332,33.11615,32.70532,33.10624,32.70819,33.21834,33.05696,32.90559,32.88989,33.11454,33.1242,33.1865,33.08499,32.88312,33.08398,32.84617,32.9125,33.09816,32.89371,32.58649,32.74428,32.46349,32.67063,32.31807,32.44214,32.32269,32.44884,32.35194,32.20411,32.10957,31.91759,32.56436,32.55023,32.14681,32.38103,32.4038,32.29708,32.31682,32.33509,32.44655,32.30997,32.37883,31.83586,32.20486,32.14187,32.17906,32.06909,32.08439,32.00882,32.10634,32.07103,31.94404,32.07637,31.95496,31.90227,31.73375,31.86348,
-34,33.9275,34.2605,33.9104,34.34948,33.87528,33.93447,33.8719,33.93086,33.94803,34.08193,33.62106,33.72524,33.68909,33.59138,33.74192,33.62532,33.33154,33.28253,33.22015,33.23925,33.12474,33.1857,33.15375,32.79864,33.1399,33.00384,32.96416,32.95235,32.9499,33.26704,33.32953,33.3365,32.86844,32.757,33.24863,33.21369,32.75182,33.18467,33.09467,32.96161,32.56566,32.61403,32.87053,32.77717,32.85574,32.57014,32.32747,32.54294,32.46678,32.29042,32.40985,32.35592,32.63455,32.29958,32.40593,32.46956,32.46883,32.10409,32.46287,32.36869,32.46228,32.49354,32.43269,32.01346,32.41407,32.43513,32.27782,31.81879,32.25666,32.0584,32.08431,32.19192,31.8059,32.08353,31.76467,32.00094,31.79216,31.88537,
-30,34.10285,34.20065,34.1535,34.0886,34.0382,34.03733,34.29366,34.25439,33.89726,33.91202,33.69294,33.8152,33.73707,34.02294,33.60865,33.55967,33.7292,33.42902,33.60061,33.48901,33.01322,33.40413,33.06187,33.28428,33.30317,33.04844,32.99116,33.02429,33.06248,33.31911,33.03302,33.21705,33.42759,32.95087,33.15443,32.80989,33.28816,32.787,32.82722,32.70101,32.96118,32.40763,32.49701,32.58666,32.41235,32.70315,32.65464,32.36562,32.23424,32.40136,32.43566,32.27759,32.70291,32.52633,32.60778,32.28998,32.28205,32.58057,32.48913,32.56011,32.70408,32.50566,32.50117,32.21485,32.09757,32.16959,32.11738,32.08621,31.75575,32.26174,32.05205,31.75759,32.19816,31.76578,31.66004,31.84724,31.91404,31.71721,
-26,34.21031,34.29845,33.76491,34.09046,34.06442,34.19997,34.06956,33.98907,34.09823,33.9156,33.91484,34.42856,33.86902,34.32,33.61164,33.66525,33.69812,33.67012,33.40159,33.41454,33.32757,32.89193,32.90533,33.35355,33.29259,32.93035,33.48942,33.18572,33.19488,33.09549,33.05647,33.36242,33.39368,33.0559,33.44718,32.99964,33.10057,32.65653,32.60277,32.77335,33.01717,33.02152,32.97015,32.81473,32.64334,32.49176,32.66027,32.58635,32.68986,32.38373,32.31823,32.32419,32.50791,32.62575,32.95655,32.45877,32.78112,32.34567,32.61223,32.34175,32.63835,32.15202,32.30077,32.53614,32.31832,32.56361,32.41161,32.38641,32.37334,31.98322,32.38136,32.323,32.09214,32.08233,32.14657,31.94129,32.07959,31.65515,
-22,34.37365,34.32602,34.43136,34.28676,34.329,34.10273,34.26715,34.17443,34.06282,34.09241,33.99551,33.63091,34.35915,33.82879,33.48885,33.7679,33.57225,33.29895,33.68051,33.35783,33.0229,33.30761,33.15438,33.09968,33.35633,33.15951,33.18851,33.51345,33.3277,33.29942,32.866,33.10567,33.31889,33.05748,33.35916,33.0042,33.04328,32.83803,32.91514,33.14442,33.16665,33.1373,32.97975,32.62158,32.54008,32.67388,32.4557,32.44981,32.5683,32.57162,32.54009,32.47828,32.37664,32.66231,32.34976,32.66648,32.58098,32.69689,32.22641,32.29549,32.1732,32.50384,32.2455,32.4975,32.39422,32.39733,32.43754,32.14242,32.05753,32.26162,31.9898,31.9708,31.83699,31.81133,31.89597,32.03228,31.97465,31.87431,
-18,34.82036,34.29499,34.26339,34.2148,34.35551,33.89391,33.95973,34.17088,34.12541,34.06736,34.21104,33.95789,33.89957,33.96976,33.79409,33.89419,33.58852,33.54371,33.57003,33.40961,33.29936,33.61431,33.26202,33.01482,33.29947,33.20717,33.67762,33.17962,33.10573,33.29785,33.08729,33.4418,33.49871,33.12669,33.15119,33.34886,32.95413,33.26173,32.97386,32.86529,32.76705,33.03093,32.73053,32.6771,32.93296,32.8808,32.83834,32.85278,32.58337,32.12403,32.38855,32.5708,32.72855,32.5039,32.46174,32.41366,32.32716,32.47846,32.82123,32.48274,32.22092,32.61854,32.49436,32.56109,32.58112,32.18342,32.06922,32.42299,32.34315,31.98102,31.98325,31.9722,31.82747,31.92415,31.79537,32.07508,31.96602,31.90096,
-14,34.09468,34.3043,34.38149,34.26387,34.36541,34.21851,34.04982,34.11836,34.17349,33.63808,34.04989,34.09821,33.9258,33.93658,33.87331,33.70169,33.59933,33.41089,33.64869,33.66914,33.39716,33.3329,33.28435,33.09081,33.05533,33.03434,33.22783,32.94238,33.20312,33.62723,33.2719,32.94169,33.18286,33.16267,33.04909,33.05759,32.95725,32.9863,32.97622,32.93951,32.9143,32.87583,32.72666,32.72352,32.80535,32.63828,32.52643,32.66269,32.91252,32.43945,32.22324,32.64248,32.44048,32.2644,32.62119,32.72531,32.29824,32.39325,32.26644,32.64886,32.29669,32.23111,32.33914,32.64764,32.28488,32.18848,32.38139,32.39331,32.48198,32.28391,32.27287,31.90713,32.16825,31.93669,32.19604,31.97999,32.04046,31.66907,
