"slide [mm]","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='0mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='2mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='4mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='6mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='8mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='10mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='12mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='14mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='16mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='18mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='20mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='22mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='24mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='26mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='28mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='30mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='32mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='34mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='36mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='38mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='40mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='42mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='44mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='46mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='48mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='25mm' offset='50mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='0mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='2mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='4mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='6mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='8mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='10mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='12mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='14mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='16mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='18mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='20mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='22mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='24mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='26mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='28mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='30mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='32mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='34mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='36mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='38mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='40mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='42mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='44mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='46mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='48mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='30mm' offset='50mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='0mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='2mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='4mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='6mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='8mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='10mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='12mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='14mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='16mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='18mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='20mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='22mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='24mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='26mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='28mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='30mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='32mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='34mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='36mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='38mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='40mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='42mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='44mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='46mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='48mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='35mm' offset='50mm'","Matrix1.L(pickup1,pickup1) [uH] - gap='45mm' offset='0mm'"
-10,34.42259,34.31491,34.44176,34.33429,34.1126,34.32442,34.26785,34.27806,34.22659,34.05037,34.03965,34.06682,33.74384,33.8867,33.81687,33.7068,33.70449,33.67965,33.34544,33.39935,33.44824,33.55832,33.26312,33.17131,33.37719,33.24951,33.1365,33.45069,33.1742,33.49721,33.15111,33.36427,33.06093,33.07864,32.76576,32.9919,33.05261,33.3253,32.77803,32.67872,33.04611,32.7222,33.02919,32.65133,32.39697,32.57761,32.87788,32.5192,32.71308,32.67153,32.5711,32.47543,32.55935,32.33247,32.62064,32.58889,32.58695,32.44387,32.57785,32.39677,32.28449,32.61218,32.27958,32.14703,32.38669,32.28467,32.15671,32.38496,32.20528,32.12047,32.19269,32.14181,32.14294,31.91528,31.54628,31.67689,32.04206,31.9827,
-6,34.28586,34.28158,34.32074,34.61745,34.24921,34.28016,34.26005,34.12149,34.13453,34.10757,34.07687,33.93034,33.95839,33.88657,33.81734,33.70492,33.61938,33.55556,33.53794,33.5217,33.53439,33.32188,33.20464,33.44473,33.02465,32.96408,33.18285,33.22967,33.21384,33.22702,33.15908,33.08691,32.8919,33.05437,33.39498,32.92103,32.79995,32.92114,32.86557,32.8572,33.2206,32.77222,32.66206,32.93851,32.65975,32.54977,32.86133,32.18203,32.8117,32.56162,32.5418,32.25837,32.29453,32.33904,32.5622,32.62845,32.63626,32.47185,32.72815,32.4875,32.46315,32.50451,32.18858,32.16802,32.20139,32.29122,32.14324,32.37426,32.02427,32.20544,32.23302,32.12397,31.78254,32.04704,31.96217,31.74026,32.11454,31.91059,
-2,34.29009,34.25077,34.31863,34.29357,34.32546,33.76954,33.89678,34.11932,34.12796,33.99142,34.01317,33.98771,33.84346,33.55626,33.79774,33.45848,33.66152,33.50671,33.30077,33.39109,33.39705,33.41455,33.18876,33.41753,32.91541,32.83164,33.14728,33.51865,32.73876,33.16722,33.05398,33.11959,33.35881,33.02031,32.85448,32.71145,32.73602,32.91474,33.19661,33.11894,32.88523,33.04648,32.51415,32.96858,32.64127,32.64989,32.84538,32.41428,32.5589,32.80635,32.30635,32.58592,32.66033,32.33637,32.68972,32.09071,32.40586,32.32915,32.30539,32.61792,32.21608,32.26099,32.39326,32.42483,32.46116,32.41322,32.27537,32.40755,31.78726,32.35978,32.01866,31.98711,32.1695,32.16026,32.0194,31.9825,32.04983,31.77759,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.66047
2,34.24604,34.21627,34.30783,33.93518,34.12499,34.22221,34.11201,34.08779,34.05433,34.03302,33.96867,34.00106,33.86084,33.8101,33.78637,33.61544,33.55177,33.51913,33.53698,33.37228,33.33654,33.28765,33.23217,33.03371,33.06149,32.87534,33.11238,33.11767,32.85087,33.03329,33.32074,33.01484,33.00704,33.02219,33.21817,32.97486,32.88276,32.89952,32.84218,33.05782,32.7532,32.94022,32.97426,32.88814,32.5813,32.75172,32.47612,32.20475,32.42715,32.26939,32.38272,32.42074,32.27349,32.33836,32.33224,32.6868,32.36842,32.23606,32.30198,32.59753,32.20492,32.2041,32.51653,32.06997,32.38035,32.37424,32.06862,32.20252,31.97799,31.86611,31.917,32.03618,31.8599,32.1643,31.87193,31.79905,31.88775,32.04506,
6,34.14784,34.17453,34.01305,34.18201,34.15828,33.85663,34.0365,34.043,33.99398,33.92612,33.83231,33.84469,33.83005,33.81735,33.71468,33.54562,33.52166,33.68654,33.45754,33.5355,33.53125,33.15734,33.3849,33.02808,32.98889,33.24622,32.97881,33.02056,33.0746,32.97254,33.10916,33.00742,33.00305,32.74212,32.96446,33.29297,33.13579,33.04041,33.14042,32.72877,32.75846,32.67479,32.6049,32.61513,32.98963,32.31958,32.6521,32.66731,32.25996,32.5446,32.51355,32.24894,32.49111,32.40216,32.21299,32.20097,32.22519,32.24886,31.81608,32.4481,32.36019,32.10097,32.16393,32.32641,32.3802,32.3383,31.99836,32.16531,32.25017,31.86741,32.14719,32.0241,32.0377,32.04013,32.08869,31.81637,31.89928,31.56299,
10,34.10058,34.24126,33.99865,34.09673,34.05621,34.08507,34.02207,34.04123,33.93483,33.94956,33.83446,33.8115,33.72042,33.85531,33.94668,33.53206,33.46677,33.23735,33.39422,33.45839,33.21017,33.24208,33.0823,33.11743,33.20417,32.89395,33.00338,33.02563,33.32171,33.01599,33.0182,32.92412,32.93063,32.62528,32.82761,32.81966,32.84109,32.87264,32.78658,32.7148,32.45559,32.91446,32.88676,32.72189,32.63571,32.64509,32.5462,32.62842,32.24153,32.65936,32.37166,32.13902,32.28492,32.55609,32.38998,32.35191,32.19283,32.16751,32.40926,32.34967,32.10583,32.33551,32.38997,32.0064,32.2011,32.31216,32.25837,31.85446,32.20893,32.23707,32.06197,32.13243,31.77666,32.0445,31.6709,31.84525,31.88585,31.78739,
14,34.44301,34.02585,34.12179,34.04332,34.08292,33.98593,34.07092,33.93503,34.35111,33.82304,33.87636,33.85369,33.72105,33.73288,33.61005,33.55447,33.5271,33.7453,33.42181,33.64545,33.38346,33.20058,33.11041,33.09689,32.84489,33.23115,33.06688,32.99027,32.94838,32.8731,32.94752,33.21868,33.16458,32.88978,33.15294,32.80058,32.78677,32.75674,32.80286,32.71274,32.97706,32.62383,32.67975,32.5764,32.43252,32.45812,32.61407,32.26102,32.23844,32.35407,32.42416,32.3912,32.11882,32.50311,32.21131,32.45236,32.45773,32.1823,32.18118,32.19859,32.10671,32.33067,32.3822,32.29486,32.19279,32.32605,31.87099,31.88938,32.11774,31.90364,32.10238,32.01299,31.9869,31.97881,31.62156,31.93546,31.59828,31.50056,
18,34.04243,33.98584,33.99476,33.97246,33.95503,33.87025,33.98198,33.80643,33.90934,33.80846,33.79424,33.99925,33.65195,33.64111,33.60031,33.54694,33.43889,33.44303,33.66211,33.25634,32.97819,33.30231,33.33889,32.99745,33.07522,32.73265,32.86642,33.12509,33.21626,33.12424,33.103,32.87878,33.21125,33.1066,32.99259,32.7791,32.99144,32.68291,32.68165,32.61799,32.56034,32.51125,32.36155,32.68575,32.58901,32.32984,32.33845,32.50996,32.35979,32.13084,32.3761,32.08886,32.03677,32.42008,32.10191,32.32317,32.14508,32.09227,32.05176,32.05554,32.11411,32.14012,32.30674,32.22574,32.23382,32.1231,31.911,32.10105,31.75694,32.01937,32.09157,31.73301,31.93492,31.60706,31.59581,31.61331,31.56258,31.8313,
22,33.9922,33.83675,33.95073,33.91522,33.92516,33.90679,33.85955,34.1285,33.78468,33.80237,33.8477,33.49663,33.69574,33.57845,33.44169,33.69645,33.28816,33.0703,33.14387,33.15723,33.34393,33.12826,33.01937,33.01187,32.76104,33.04804,32.90497,33.16408,33.13915,32.86844,32.84873,32.97959,33.01978,32.76656,33.06266,32.7366,32.78564,32.90688,32.65511,32.87268,32.94061,32.6019,32.28631,32.77793,32.64644,32.34249,32.28404,32.42768,32.19427,32.17132,32.01094,31.91567,32.0947,32.1106,32.23623,32.22252,32.26516,32.09729,32.30619,32.19183,31.90561,31.9481,31.96113,32.188,32.24211,31.81976,31.82637,32.05192,32.04618,31.75623,32.06707,31.97783,31.90353,31.83248,31.84212,31.69763,31.56579,31.83845,
26,33.99125,33.90206,33.91575,33.94226,33.84726,33.88887,33.7953,33.75604,33.75396,33.72447,33.66234,33.5764,33.60371,33.59285,33.45892,33.68205,33.14365,33.53889,33.45355,33.11337,33.05023,32.95486,33.24843,33.12606,32.81756,33.05606,32.81409,32.88406,32.79542,33.05117,32.84417,32.95538,32.52575,32.66228,32.68699,32.67118,32.64109,32.95223,32.89939,32.79334,32.78607,32.66683,32.45744,32.2794,32.30558,32.27976,32.50755,32.25593,32.13268,32.11264,32.29029,32.17321,32.08123,32.38463,32.36557,31.79564,32.09934,32.34152,32.16851,32.38764,31.95785,32.18202,32.11929,32.1862,31.90508,32.08979,31.82174,32.12858,32.01853,31.76121,31.99346,31.72062,31.64926,31.64547,31.79359,31.73969,31.74621,31.83125,
