"slide [mm]","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='0mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='2mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='4mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='6mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='8mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='10mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='12mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='14mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='16mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='18mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='20mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='22mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='24mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='26mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='28mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='30mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='32mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='34mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='36mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='38mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='40mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='42mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='44mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='46mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='48mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='50mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='0mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='2mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='4mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='6mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='8mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='10mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='12mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='14mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='16mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='18mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='20mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='22mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='24mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='26mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='28mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='30mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='32mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='34mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='36mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='38mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='40mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='42mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='44mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='46mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='48mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='50mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='0mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='2mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='4mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='6mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='8mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='10mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='12mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='14mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='16mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='18mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='20mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='22mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='24mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='26mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='28mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='30mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='32mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='34mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='36mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='38mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='40mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='42mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='44mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='46mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='48mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='50mm'","Matrix1.L(source1,source1) [uH] - gap='45mm' offset='0mm'"
2,34.16049,34.11696,34.15833,33.8875,34.10263,34.08894,34.00449,34.00319,33.99744,33.93311,33.90703,33.87149,33.76294,33.71285,33.59117,33.51056,33.44397,33.39598,33.33187,33.18833,33.16554,33.05767,32.94302,32.86709,32.76388,32.66276,32.96976,33.01193,32.73652,32.91361,33.17007,32.91762,32.90156,32.83809,33.00536,32.78067,32.72005,32.71244,32.64934,32.88716,32.54521,32.65033,32.69582,32.66276,32.33843,32.53033,32.25308,31.96348,32.12176,31.97236,32.09146,32.04795,32.11233,32.16343,32.14956,32.38674,32.09885,32.14483,32.08174,32.30032,32.07735,31.99111,32.22684,31.92326,32.09757,32.07226,31.84912,32.03487,31.74877,31.66809,31.60099,31.6683,31.54495,31.74473,31.6273,31.40131,31.54081,31.55344,
6,34.13696,34.16015,34.04542,34.11661,34.1052,33.83236,33.98581,33.97788,33.9285,33.9629,33.80568,33.8487,33.6742,33.66601,33.57862,33.48081,33.41834,33.67362,33.32031,33.43067,33.38404,33.00659,33.15097,32.83275,32.73661,32.9048,32.92489,32.97033,33.03064,32.96959,32.97289,32.93517,32.94238,32.68356,32.78377,33.08961,32.93501,32.94563,32.91207,32.62004,32.60355,32.50537,32.44646,32.42072,32.6363,32.09541,32.48726,32.35639,32.08452,32.24733,32.1944,31.90286,32.31548,32.27982,32.10316,32.11436,32.03914,32.07295,31.77512,32.2539,32.2244,31.97806,31.99289,32.13305,32.14803,32.07552,31.80913,31.94287,31.96341,31.68232,31.78951,31.83567,31.75127,31.62845,31.67147,31.57357,31.51778,31.26751,
10,34.12201,34.18968,34.05681,34.10786,34.09381,34.0922,33.99711,34.05513,33.92991,33.90177,33.82293,33.80007,33.72883,33.72432,33.78488,33.468,33.42622,33.18353,33.23709,33.33135,33.04116,33.04945,32.89515,32.88027,32.92522,32.54715,32.96325,32.98575,33.21824,32.96004,32.94562,32.90761,32.88546,32.63943,32.83194,32.81048,32.76764,32.73817,32.72816,32.64046,32.36361,32.76248,32.74064,32.63471,32.56478,32.46014,32.43453,32.32181,32.12234,32.3028,32.15083,31.8003,32.18109,32.37218,32.33567,32.25047,32.11901,32.07529,32.29979,32.26836,31.99564,32.18943,32.22817,31.95358,32.1162,32.15794,32.0914,31.7601,32.00283,31.90492,31.83303,31.89932,31.51407,31.7769,31.42109,31.58207,31.50384,31.41351,
14,34.48016,34.13804,34.14698,34.11302,34.16284,34.06705,34.04317,33.95899,34.22561,33.85445,33.80619,33.7984,33.67343,33.63433,33.57363,33.47465,33.45343,33.63815,33.26976,33.43667,33.28912,33.04138,32.88815,32.81162,32.74903,32.88389,32.95279,32.95221,32.92408,32.88517,32.92173,33.18229,33.16813,32.82115,33.0999,32.75741,32.69629,32.74433,32.70371,32.60048,32.8453,32.46131,32.44478,32.40627,32.30816,32.25067,32.44566,32.11764,32.03088,31.9367,32.05762,32.02485,32.12598,32.34616,32.1248,32.34684,32.28319,32.13329,32.08826,32.07583,32.03894,32.14167,32.23186,32.11316,32.07685,32.09092,31.7954,31.72128,31.95833,31.6783,31.8361,31.77374,31.69656,31.69778,31.4199,31.57558,31.33816,31.26062,
18,34.06478,34.0934,34.06795,34.03652,33.99676,34.01,33.98413,33.89623,33.8477,33.80769,33.80625,33.95425,33.63262,33.60523,33.52327,33.45132,33.29349,33.25087,33.4308,33.11363,32.82244,33.15615,33.04091,32.77324,32.86368,32.55201,32.92562,33.08468,33.12876,33.13812,33.13496,32.84338,33.12872,33.0441,32.97487,32.71865,32.94468,32.61813,32.61769,32.5289,32.48376,32.43624,32.22674,32.56333,32.41833,32.20603,32.12307,32.27885,32.18318,31.93332,32.08821,31.80837,32.02885,32.24624,32.06531,32.28046,32.08816,32.03353,32.03434,31.9409,31.97545,31.91705,32.16588,32.08271,32.09044,32.02973,31.74589,31.983,31.68213,31.82534,31.78342,31.55196,31.64087,31.45559,31.36428,31.35433,31.28247,31.47588,
22,33.9668,33.90731,33.97405,33.93857,34.01326,33.91803,33.83486,34.09078,33.81443,33.72123,33.68578,33.40901,33.56703,33.52422,33.41154,33.63055,33.27123,33.00132,33.09962,33.03775,33.14781,32.83287,32.81472,32.7143,32.57045,32.7198,32.85109,33.11637,33.12027,32.82441,32.81271,32.82416,33.04339,32.74825,32.95978,32.68605,32.64429,32.82731,32.55048,32.71685,32.7159,32.39659,32.18527,32.5472,32.50862,32.12147,32.11073,32.20609,31.981,31.87092,31.77237,31.72624,32.04195,32.02346,32.20258,32.16387,32.259,31.94313,32.22088,32.09681,31.87841,31.8933,31.89822,32.00174,32.05195,31.75967,31.68965,31.85824,31.85949,31.57936,31.74406,31.7384,31.66418,31.57658,31.50851,31.43876,31.22728,31.38576,
26,33.94044,33.90097,33.87296,33.92091,33.85323,33.80852,33.75034,33.74735,33.71241,33.67381,33.60198,33.51518,33.46356,33.43765,33.39548,33.52487,33.01488,33.40757,33.2978,32.94445,32.86666,32.83599,33.03683,32.84052,32.51104,32.62675,32.7836,32.78015,32.75223,33.02146,32.74596,32.98725,32.50355,32.64452,32.64398,32.61672,32.57072,32.70921,32.74836,32.72296,32.62912,32.53309,32.27765,32.20345,32.16149,32.1016,32.27627,31.94803,31.89986,31.82225,31.98617,31.86916,32.02133,32.15302,32.22054,31.7802,31.96359,32.1596,32.12738,32.16269,31.8579,32.02965,32.01385,31.99198,31.7822,31.89536,31.66325,31.83726,31.75839,31.54062,31.8198,31.44146,31.42432,31.36084,31.49337,31.4126,31.42366,31.36269,
30,33.77197,33.77805,33.78864,33.79379,33.53717,33.73744,33.63732,33.71251,33.62856,33.58951,33.48395,33.4274,33.19798,33.62715,33.47026,33.15085,33.10724,33.3014,33.01998,32.7976,32.76381,32.66846,32.57932,32.52707,32.42512,32.20453,32.66407,32.85206,32.90537,32.67269,32.64342,32.79964,32.61266,32.79526,32.75949,32.49182,32.48417,32.64799,32.41382,32.59288,32.09759,32.27167,32.40624,32.13357,32.0467,32.20702,32.13203,31.89402,31.80798,31.98782,31.86874,31.59817,32.0679,32.1758,31.86813,32.07187,31.87458,31.82606,32.04804,31.77557,31.81101,32.01543,31.88177,31.674,31.90531,31.83284,31.84305,31.57917,31.35317,31.47246,31.64195,31.5846,31.15399,31.43194,31.2194,31.38853,31.37264,31.30092,
34,33.65718,33.41583,33.63256,33.58049,33.82615,33.56648,33.81627,33.55014,33.7176,33.71714,33.64166,33.50984,33.25823,32.99295,33.34418,33.036,32.9267,32.88586,33.00205,32.56213,32.6172,32.8014,32.74165,32.62146,32.3224,32.19337,32.5088,32.78647,32.72563,32.78992,32.538,32.51229,32.74248,32.67918,32.44863,32.60846,32.54678,32.47289,32.42054,32.44112,32.36857,32.3074,32.33485,32.21386,31.94415,32.09243,32.03042,31.7452,31.91087,31.93531,31.82918,31.66942,31.84577,31.80873,31.76193,31.97877,31.9404,31.77637,31.97209,31.90935,31.85419,31.69285,31.83447,31.79569,31.76626,31.76889,31.54101,31.61876,31.64148,31.51072,31.5708,31.51492,31.45206,31.20872,31.293,31.25025,31.2848,31.17947,
38,33.41056,33.58405,33.61908,33.45059,33.61349,33.37244,33.30459,33.52636,33.25655,33.226,33.38793,33.30224,33.26272,33.17339,33.0753,33.14701,32.93054,32.94276,32.82033,32.74067,32.72057,32.63258,32.34866,32.21865,32.38521,32.26618,32.56781,32.68846,32.2391,32.39655,32.4064,32.55103,32.5261,32.30743,32.27176,32.45803,32.21701,32.34035,32.29063,32.30536,32.20408,32.19503,32.21446,31.92817,32.02982,31.77526,31.74812,31.85804,31.45141,31.71145,31.70305,31.63638,31.93207,31.68495,31.83789,31.83538,31.64302,31.68233,31.62926,31.79446,31.57404,31.78898,31.48604,31.73353,31.70946,31.47287,31.39271,31.57506,31.3448,31.51125,31.46511,31.41089,31.33629,31.28081,31.32713,31.18123,31.15215,31.09812,
