"slide [mm]","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='0mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='2mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='4mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='6mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='8mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='10mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='12mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='14mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='16mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='18mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='20mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='22mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='24mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='26mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='28mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='30mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='32mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='34mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='36mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='38mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='40mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='42mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='44mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='46mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='48mm'","Matrix1.L(source1,source2) [uH] - gap='40mm' offset='50mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='0mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='2mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='4mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='6mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='8mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='10mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='12mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='14mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='16mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='18mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='20mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='22mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='24mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='26mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='28mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='30mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='32mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='34mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='36mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='38mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='40mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='42mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='44mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='46mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='48mm'","Matrix1.L(source1,source2) [uH] - gap='45mm' offset='50mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='0mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='2mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='4mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='6mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='8mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='10mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='12mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='14mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='16mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='18mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='20mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='22mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='24mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='26mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='28mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='30mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='32mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='34mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='36mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='38mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='40mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='42mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='44mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='46mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='48mm'","Matrix1.L(source1,source2) [uH] - gap='50mm' offset='50mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='0mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='2mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='4mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='6mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='8mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='10mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='12mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='14mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='16mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='18mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='20mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='22mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='24mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='26mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='28mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='30mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='32mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='34mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='36mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='38mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='40mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='42mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='44mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='46mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='48mm'","Matrix1.L(source1,source2) [uH] - gap='55mm' offset='50mm'"
-50,8.105469,8.052975,8.067575,8.050698,8.040288,8.069904,8.0308,7.979656,8.146683,8.010789,8.02656,7.974872,7.949242,7.918419,7.924627,7.903863,7.981508,7.822526,7.802597,7.780681,7.886701,7.88816,7.664995,7.615394,7.615355,7.586044,7.7339,7.716343,7.699322,7.738512,7.726987,7.712858,7.710915,7.848927,7.660389,7.674008,7.678884,7.642705,7.603608,7.620564,7.728806,7.600559,7.544814,7.44199,7.48045,7.641519,7.607219,7.461429,7.55059,7.416228,7.536342,7.499549,7.471573,7.647812,7.63761,7.635455,7.619365,7.479273,7.623972,7.478256,7.643193,7.448753,7.410545,7.588248,7.367771,7.504452,7.559781,7.382972,7.380133,7.484405,7.446082,7.280224,7.461492,7.418462,7.354474,7.369434,7.353025,7.195609,7.427551,7.175719,7.289729,7.255374,7.367347,7.401156,7.419177,7.244444,7.344493,7.346769,7.223457,7.369305,7.210125,7.343591,7.183043,7.350208,7.1637,7.2656,7.276857,7.25524,7.202247,7.223185,7.237137,7.212311,7.196685,7.170616
-46,8.187347,8.125002,8.121314,8.145506,8.295329,8.134094,8.143452,8.1101,8.085786,8.102072,8.044564,8.090436,8.015905,8.024885,7.940801,8.136171,7.925386,8.07545,7.880131,7.807232,7.802,7.957717,7.860612,7.716825,7.811194,7.66708,7.766657,7.77727,7.979708,7.812436,7.789839,7.774548,7.813513,8.021641,7.767581,7.747257,7.876895,7.741189,7.707742,7.83991,7.822804,7.776168,7.629878,7.776585,7.750997,7.741571,7.729009,7.540532,7.497518,7.533218,7.370744,7.58939,7.693455,7.666875,7.52043,7.516051,7.517551,7.517553,7.545331,7.505783,7.527122,7.592752,7.445795,7.458289,7.463407,7.416649,7.43727,7.325686,7.521186,7.384008,7.36268,7.358532,7.476568,7.433824,7.293042,7.319738,7.249681,7.238942,7.471067,7.52043,7.497163,7.30407,7.310478,7.519539,7.350336,7.435421,7.297378,7.401616,7.413168,7.285968,7.265003,7.418197,7.258683,7.234516,7.22299,7.328821,7.272897,7.288792,7.30219,7.284134,7.140728,7.262451,7.135213,7.177728
-42,8.234281,8.077405,8.234758,8.259613,8.245379,8.088606,8.214302,8.192389,8.228098,8.176148,8.159871,7.900225,8.28586,8.062407,8.222059,7.998618,7.999524,7.94749,7.943327,7.934892,7.916295,7.851617,7.828328,7.770966,7.760082,7.735042,7.909851,7.871328,7.871706,7.865853,7.85681,7.923845,7.855278,7.724618,7.8508,7.791811,7.84264,7.777761,7.940253,7.736425,7.735698,7.716945,7.690602,7.844809,7.639472,7.735826,7.570313,7.584482,7.651771,7.523514,7.473057,7.458151,7.599886,7.597075,7.574539,7.608122,7.583517,7.601576,7.575988,7.56513,7.568129,7.536125,7.553115,7.524585,7.499457,7.504042,7.535327,7.40893,7.444421,7.462117,7.431919,7.535274,7.272131,7.535015,7.318755,7.318967,7.305564,7.258957,7.526349,7.491875,7.387075,7.384794,7.493075,7.347187,7.541624,7.359999,7.323021,7.450251,7.310476,7.462944,7.277546,7.362952,7.38273,7.422558,7.38373,7.249052,7.194387,7.209248,7.197724,7.312797,7.305908,7.159106,7.173563,7.246725
-38,8.213799,8.342889,8.285587,8.359281,8.34784,8.319914,8.237344,8.275004,8.208557,8.256917,8.230083,8.204072,8.17338,8.036034,8.158163,8.130713,8.208352,8.016923,7.984661,7.975427,7.958268,7.939888,7.90086,7.863332,7.769951,7.797068,7.927758,7.956755,8.159756,7.960527,7.90094,7.935307,7.923721,7.89608,7.886828,7.890039,7.892221,7.826648,7.856454,7.845817,7.831412,7.765652,7.933355,7.772735,7.700399,7.705136,7.701901,7.646475,7.577399,7.681587,7.532108,7.534638,7.86035,7.65004,7.581719,7.610873,7.532572,7.642807,7.60664,7.611162,7.71044,7.721336,7.543153,7.551245,7.589402,7.525202,7.595132,7.534115,7.494263,7.647802,7.416947,7.453317,7.553272,7.373636,7.518439,7.527588,7.332111,7.454747,7.566618,7.502809,7.411023,7.397598,7.462761,7.436715,7.409915,7.37649,7.40031,7.414294,7.415198,7.524509,7.337824,7.335881,7.39439,7.287806,7.337655,7.219386,7.299957,7.473075,7.264644,7.358977,7.372231,7.189762,7.200752,7.142424
-34,8.408927,8.431131,8.269314,8.252851,8.352393,8.388865,8.365595,8.374802,8.358292,8.303265,8.267835,8.22632,8.264056,8.091306,8.179997,8.093463,8.115325,8.12946,8.289823,7.923336,8.009444,8.075978,8.169996,7.887348,7.905564,7.834207,7.98521,7.958603,8.135874,7.975367,7.97819,8.0333,8.115782,8.09241,7.880977,7.906357,8.102257,7.87286,7.859285,7.865662,7.77691,7.952803,7.769594,7.743848,7.727807,7.706799,7.703885,7.684522,7.500921,7.61809,7.7397,7.564539,7.703905,7.701485,7.675688,7.722309,7.665703,7.650172,7.839045,7.835274,7.557662,7.647888,7.65551,7.5465,7.598098,7.769351,7.727102,7.604104,7.554122,7.50925,7.511289,7.451462,7.458563,7.47087,7.425653,7.472738,7.371327,7.54797,7.501262,7.388474,7.36515,7.442595,7.470387,7.430997,7.580651,7.40517,7.501429,7.560929,7.530247,7.387025,7.509438,7.501015,7.37053,7.466315,7.362597,7.483654,7.294286,7.301257,7.261014,7.364825,7.228783,7.320318,7.240738,7.191513
-30,8.47076,8.493695,8.456399,8.473361,8.409242,8.458627,8.44146,8.64683,8.243986,8.349518,8.383994,8.353962,8.28099,8.283159,8.240139,8.202087,8.188003,8.177984,8.136169,8.115194,8.046062,7.889788,7.994099,7.933831,8.095002,7.86601,8.042296,7.931567,8.062348,8.044948,8.022445,8.045881,8.161301,8.156658,8.033066,7.989769,7.940261,8.108929,7.96327,8.049547,7.780093,7.835684,7.882195,7.977247,7.768955,8.000324,7.744628,7.743583,7.682058,7.650944,7.642759,7.571312,7.753633,7.856323,7.911789,7.725934,7.750261,7.738555,7.704414,7.743484,7.709902,7.807446,7.700272,7.798841,7.755948,7.587384,7.585233,7.604691,7.583039,7.525385,7.558353,7.487164,7.595302,7.42472,7.448972,7.606632,7.416938,7.517949,7.655138,7.65819,7.507976,7.526983,7.604532,7.636738,7.499617,7.525002,7.699188,7.480568,7.58049,7.58235,7.586353,7.518104,7.537934,7.402507,7.394112,7.504602,7.33917,7.510488,7.480081,7.409781,7.444042,7.270645,7.333201,7.219166
-26,8.610231,8.556474,8.567403,8.547487,8.488469,8.525375,8.515762,8.627698,8.306877,8.634497,8.448101,8.399155,8.388853,8.31827,8.335519,8.260823,8.396942,8.089043,8.172192,8.130125,8.28136,8.053999,8.004805,7.859721,7.802257,7.899224,8.124061,8.139808,8.136071,8.046736,8.128531,8.12648,8.071414,8.056338,8.03471,8.039121,8.05075,8.015822,7.989849,8.001714,7.934091,7.881186,7.875931,7.733294,7.822052,7.820542,7.781451,7.719966,7.716143,7.711163,7.66312,7.647381,7.812013,7.782143,7.79056,7.749685,7.783252,7.813112,7.737,7.730304,7.74021,7.734869,7.694288,7.670646,7.871337,7.628956,7.638117,7.652755,7.626326,7.62889,7.579358,7.582023,7.534142,7.619099,7.454148,7.447083,7.434581,7.436541,7.631954,7.674014,7.521836,7.512503,7.646436,7.511624,7.424658,7.458413,7.461064,7.631091,7.469047,7.268543,7.425617,7.410046,7.54553,7.411777,7.390625,7.346312,7.53461,7.312073,7.304866,7.322493,7.40895,7.276879,7.355296,7.19783
-22,8.571926,8.585288,8.326002,8.584355,8.433026,8.504517,8.51993,8.497004,8.519243,8.479338,8.332428,8.435744,8.405633,8.409959,8.358639,8.296719,8.153226,8.230771,8.246798,8.064431,8.006448,8.067597,7.934556,8.015797,7.94969,7.936617,8.18147,8.167382,8.218623,8.146633,8.145602,8.12524,8.190976,8.008043,7.995036,8.116039,7.926854,8.024904,8.106356,8.024448,7.989284,8.147429,7.952347,7.80389,7.898508,7.884129,7.822483,7.833203,7.748999,7.731041,7.730381,7.693666,7.699632,7.803409,7.78009,7.939527,7.791247,7.939478,7.790767,7.67713,7.783065,7.735663,7.724623,7.72835,7.687706,7.649571,7.661424,7.658288,7.623797,7.600846,7.736258,7.577654,7.562807,7.517084,7.515598,7.706302,7.625912,7.607581,7.525096,7.464157,7.68287,7.535647,7.551381,7.535983,7.74186,7.573593,7.673449,7.521684,7.463141,7.525746,7.673881,7.479376,7.449438,7.649279,7.619664,7.403809,7.482262,7.366022,7.470368,7.476094,7.474905,7.290369,7.275585,7.288383
-18,8.664105,8.597737,8.598183,8.480439,8.641642,8.604209,8.416628,8.43962,8.552449,8.50298,8.51202,8.201485,8.484337,8.433885,8.2745,8.337,8.327384,8.13183,8.25468,8.220368,8.183024,8.114519,8.081834,8.069041,7.998233,7.984698,8.22531,8.17708,8.188928,8.207663,8.220476,8.19418,8.174518,8.050435,8.201243,8.131857,7.989795,8.085972,8.086292,8.059385,7.999104,7.992594,7.965179,7.92464,7.76781,7.914735,7.861232,7.864959,7.786644,7.763914,7.75728,7.918529,7.747239,7.867122,7.868659,7.8653,7.836363,7.848427,7.810273,7.822726,7.802092,7.951846,7.786843,7.75621,7.784875,7.692281,7.700291,7.713318,7.678446,7.646221,7.630094,7.604392,7.606386,7.648826,7.684303,7.517142,7.598869,7.491592,7.740347,7.560088,7.581291,7.684901,7.729583,7.69896,7.729702,7.54298,7.551241,7.560457,7.665288,7.544502,7.66066,7.623642,7.586985,7.640517,7.598096,7.6091,7.565312,7.545833,7.451386,7.478637,7.413217,7.488448,7.422839,7.279073
-14,8.532788,8.671738,8.673544,8.637018,8.710394,8.486291,8.497012,8.639706,8.548136,8.441285,8.517515,8.519053,8.500639,8.459259,8.39727,8.143473,8.330869,8.391308,8.035939,8.248584,8.197905,8.168923,8.119928,8.080312,8.094152,7.974475,8.242088,8.202825,8.192009,8.17466,8.18757,8.166499,8.170902,8.322768,8.149888,8.152205,8.116881,8.083414,8.062035,8.056623,8.228556,7.982982,7.972068,7.943687,7.959808,7.924406,7.825211,7.839742,7.7827,7.734165,7.726417,7.678848,7.857078,7.87695,8.035868,7.831807,7.882392,7.748994,7.865758,7.861804,7.90107,7.681833,7.771189,7.770559,7.772751,7.745885,7.714946,7.745217,7.834076,7.646048,7.633967,7.732456,7.604564,7.588077,7.581982,7.55672,7.491867,7.69607,7.643597,7.775689,7.619556,7.605279,7.616537,7.608208,7.598307,7.764393,7.602248,7.671017,7.541157,7.559109,7.524403,7.483935,7.406142,7.39811,7.459237,7.614518,7.421725,7.460003,7.428882,7.410667,7.373787,7.350681,7.338703,7.302704
